RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
25AUG2022,1,533/ 4:25:59-105,190,,105,"","",A80,S50,1,1,1,A80,"",04:26,04:26,"","",15974,15974,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,1,""
25AUG2022,1,533/ 4:25:59-105,190,,105,"","",A80,S50,1,1,1,A90,A80,04:29,04:29,"","",16190,16190,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,2,""
25AUG2022,1,533/ 4:25:59-105,190,,105,"","",A80,S50,1,1,1,S20,A90,04:35,04:35,"","",16506,16506,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,3,""
25AUG2022,1,533/ 4:25:59-105,190,,105,"","",A80,S50,1,1,1,S40,S20,04:42,04:42,"","",16938,16938,,,0,0,0,0,"",0,0,0,,26AUG1922:05:26:24.000000,4,""
25AUG2022,1,533/ 4:25:59-105,190,,105,"","",A80,S50,1,1,1,S50,S40,04:46,04:46,"","",17165,17165,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,5,""
25AUG2022,2,542/ 4:38:54-303,770,,303,"","",C60,C88,1,1,1,C60,"",04:39,04:39,"","",16753,16753,,,0,0,4,0,"",0,0,0,,26AUG1922:05:26:24.000000,6,""
25AUG2022,2,542/ 4:38:54-303,770,,303,"","",C60,C88,1,1,1,C70,C60,04:42,04:42,"","",16927,16927,,,0,0,0,0,"",0,0,0,,26AUG1922:05:26:24.000000,7,""
25AUG2022,2,542/ 4:38:54-303,770,,303,"","",C60,C88,1,1,1,C80,C70,04:53,04:53,"","",17638,17638,,,0,0,6,0,"",0,0,0,,26AUG1922:05:26:24.000000,8,""
25AUG2022,2,542/ 4:38:54-303,770,,303,"","",C60,C88,2,-1,1,C88,C80,04:55,04:55,"","",17735,17735,,,0,0,6,0,"",0,0,0,,26AUG1922:05:26:24.000000,9,""
25AUG2022,3,541/ 4:40:51-107,190,,107,"","",A80,S50,1,1,1,A80,"",04:41,04:41,"","",16866,16866,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,10,""
25AUG2022,3,541/ 4:40:51-107,190,,107,"","",A80,S50,1,1,1,A90,A80,04:44,04:44,"","",17088,17088,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,11,""
25AUG2022,3,541/ 4:40:51-107,190,,107,"","",A80,S50,1,1,1,S20,A90,04:50,04:50,"","",17439,17439,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,12,""
25AUG2022,3,541/ 4:40:51-107,190,,107,"","",A80,S50,1,1,1,S40,S20,04:57,04:57,"","",17873,17873,,,0,0,0,0,"",0,0,0,,26AUG1922:05:26:24.000000,13,""
25AUG2022,3,541/ 4:40:51-107,190,,107,"","",A80,S50,1,1,1,S50,S40,05:00,05:00,"","",18055,18055,,,0,0,2,0,"",0,0,0,,26AUG1922:05:26:24.000000,14,""
25AUG2022,4,550/ 4:53:43-305,770,,305,"","",C60,C88,1,1,1,C60,"",04:54,04:54,"","",17642,17642,,,0,0,4,0,"",0,0,0,,26AUG1922:05:26:24.000000,15,""
25AUG2022,4,550/ 4:53:43-305,770,,305,"","",C60,C88,1,1,1,C70,C60,04:57,04:57,"","",17822,17822,,,0,0,0,0,"",0,0,0,,26AUG1922:05:26:24.000000,16,""
25AUG2022,4,550/ 4:53:43-305,770,,305,"","",C60,C88,1,1,1,C80,C70,05:02,05:02,"","",18165,18165,,,0,0,6,0,"",0,0,0,,26AUG1922:05:26:24.000000,17,""
25AUG2022,4,550/ 4:53:43-305,770,,305,"","",C60,C88,2,-1,1,C88,C80,05:04,05:04,"","",18274,18274,,,0,0,6,0,"",0,0,0,,26AUG1922:05:26:24.000000,18,""
