RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
20AUG2022,564/ 5:59:10-507,401,22877-21558-507-12,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,89
20AUG2022,564/ 7: 3:52-507,434,22877-26106-507-11,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,90
20AUG2022,564/ 8:21:43-507,466,22877-30576-507-12,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,91
20AUG2022,564/ 9:34:30-507,504,22877-35106-507-11,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,92
20AUG2022,564/10:51:14-507,86,22877-39576-507-12,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,93
20AUG2022,564/12: 6:18-507,124,22877-44106-507-11,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,94
20AUG2022,564/13:18:51-507,156,22877-48576-507-12,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,95
20AUG2022,564/14:34: 8-507,193,22877-53106-507-11,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,96
20AUG2022,564/15:49:11-507,225,22877-57576-507-12,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,97
20AUG2022,564/17: 4:37-507,263,22877-62106-507-11,10,9,0,305,1563,1573,1867,1674,1801,1839,1898,361,,98
20AUG2022,565/ 5:59:59-401,402,22877-21642-401-7,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,99
20AUG2022,565/ 7:11:18-401,432,22877-25986-401-13,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,100
20AUG2022,565/ 7:17:16-401,441,22877-27066-401-14,10,10,,,,,,,,,,,,101
20AUG2022,565/ 7:37:56-401,443,22877-27480-401-8,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,102
20AUG2022,566/ 5:58:60-503,409,22877-22506-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,103
20AUG2022,566/ 7:19:52-503,438,22877-26904-503-12,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,104
20AUG2022,566/ 8:33:23-503,476,22877-31506-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,105
20AUG2022,566/ 9:49: 3-503,508,22877-35976-503-12,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,106
20AUG2022,566/11: 4:35-503,96,22877-40506-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,107
20AUG2022,566/12:21:10-503,128,22877-44976-503-12,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,108
20AUG2022,566/13:42:25-503,166,22877-49506-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,109
20AUG2022,566/14:54:10-503,197,22877-53976-503-12,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,110
20AUG2022,566/16: 4:60-503,235,22877-58506-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,111
20AUG2022,566/17:19:51-503,267,22877-62976-503-12,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,112
20AUG2022,566/18:34:30-503,295,22877-67020-503-11,10,9,1,3086,4047,4064,4159,4080,3062,4140,4153,3110,,113
20AUG2022,570/ 6:10:26-105,404,22877-21942-105-6,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,114
20AUG2022,570/ 6:32:17-105,418,22877-24012-105-5,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,115
20AUG2022,570/ 8: 4:41-105,456,22877-29220-105-6,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,116
20AUG2022,570/ 9:33:19-105,500,22877-34812-105-5,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,117
20AUG2022,570/11: 6:58-105,90,22877-40020-105-6,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,118
20AUG2022,570/12:35: 8-105,134,22877-45672-105-5,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,119
20AUG2022,570/14: 5:28-105,174,22877-50826-105-6,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,120
20AUG2022,570/15:32:50-105,217,22877-56472-105-5,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,121
20AUG2022,570/17:13:23-105,257,22877-61626-105-6,10,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,122
20AUG2022,570/18:39:60-105,36,570/18:39:60-105,,10,0,1236,1530,1723,1509,1559,1740,1815,1576,1709,1243,123
20AUG2022,571/ 6: 6:13-307,7,571/ 6: 6:13-307,,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,124
20AUG2022,571/ 6:21: 6-307,417,22877-23460-307-1,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,125
20AUG2022,571/ 8: 1:49-307,459,22877-29460-307-2,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,126
20AUG2022,571/ 9:42:46-307,505,22877-35298-307-1,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,127
20AUG2022,571/11:24:32-307,99,22877-41190-307-2,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,128
20AUG2022,571/12:56:56-307,143,22877-46800-307-1,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,129
20AUG2022,571/16:16:50-309,242,22877-59454-309-1,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,132
20AUG2022,571/18: 0:17-309,287,22877-65670-309-2,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,133
20AUG2022,571/19:43:34-309,42,571/19:43:34-309,,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,134
20AUG2022,573/ 0: 0:17-315,390,22877-87138-315-1,10,10,0,1239,1826,1838,1833,1630,1574,1666,1663,1544,1242,135
20AUG2022,573/ 1:59:30-315,58,573/ 1:59:30-315,,10,,,,,,,,,,,,136
20AUG2022,573/ 6: 8:53-315,406,22877-22272-315-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,137
20AUG2022,573/ 7:26:56-315,439,22877-27000-315-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,138
20AUG2022,573/ 9: 6:39-315,487,22877-33060-315-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,139
20AUG2022,573/10:44:27-315,83,22877-38898-315-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,140
20AUG2022,573/12:16:43-315,127,22877-44790-315-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,141
20AUG2022,573/14: 1:46-315,171,22877-50400-315-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,142
20AUG2022,573/15:29:49-315,218,22877-56550-315-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,143
20AUG2022,573/17:15:10-315,264,22877-62328-315-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,144
20AUG2022,573/18:56: 9-315,302,22877-68172-315-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,145
20AUG2022,573/20:30:49-315,332,22877-74052-315-1,10,10,0,1239,1826,1838,1833,1630,1574,1666,1663,1544,1242,146
20AUG2022,573/22:11: 6-315,356,22877-79518-315-14,10,10,0,1239,1826,1838,1833,1630,1574,1666,1663,1544,1242,147
20AUG2022,573/22:19: 4-315,362,22877-80640-315-13,10,10,0,1239,1826,1838,1833,1630,1574,1666,1663,1544,1242,148
20AUG2022,573/22:31:21-315,364,22877-81084-315-2,10,10,0,1239,1826,1838,1833,1630,1574,1666,1663,1544,1242,149
20AUG2022,575/ 6:14:45-207,408,22877-22446-207-3,8,8,1,3051,4157,4129,3112,3081,4073,4233,3098,,,150
20AUG2022,577/ 6:15:60-319,410,22877-22686-319-13,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,151
20AUG2022,577/ 6:22:57-319,414,22877-23130-319-2,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,152
20AUG2022,577/ 7:55:46-319,453,22877-28800-319-1,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,153
20AUG2022,577/ 9:31:31-319,501,22877-34860-319-2,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,154
20AUG2022,577/11: 9:59-319,97,22877-40698-319-1,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,155
