RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
26OCT2022,1,960/ 4:37:13-317,,,,,686
26OCT2022,2,956/ 4:39:40-109,,,,,671
26OCT2022,3,961/ 4:37:23-315,58,20,19,18,688
26OCT2022,4,970/ 4:44:34-305,,,,,735
26OCT2022,5,966/ 4:45:10-111,,,,,698
26OCT2022,6,988/ 4:54:43-203,,,,,805
26OCT2022,7,996/ 4:58:54-307,,,,,830
26OCT2022,8,10/ 5:16: 9-309,,,,,1
26OCT2022,9,16/ 5:20:33-311,,,,,140
26OCT2022,10,18/ 5:24:38-918,,,,,177
26OCT2022,11,19/ 5:22: 4-323,,,,,198
26OCT2022,12,29/ 5:36:34-325,,,,,452
26OCT2022,13,74/ 7:21:48-313,,,,,607
26OCT2022,14,10/ 8:43: 4-709,,,,,4
26OCT2022,15,101/ 9: 6:47-918,,,,,9
26OCT2022,16,4/11:11:59-519,,,,,505
26OCT2022,17,134/11:40:47-309,,,,,87
26OCT2022,18,958/12:17:10-709,,,,,685
26OCT2022,19,74/12:35: 4-713,,,,,611
26OCT2022,20,169/13: 7:53-918,,,,,162
26OCT2022,21,169/15:33: 5-918,,,,,163
26OCT2022,22,217/16: 1:29-918,,,,,273
26OCT2022,23,219/16: 8:43-957,,,,,283
26OCT2022,24,219/16:18:46-957,,,,,284
26OCT2022,25,2/16:48:19-723,,,,,233
26OCT2022,26,231/16:52:17-325,,,,,354
26OCT2022,27,7/18:39:59-123,,,,,588
26OCT2022,28,60/18:53:60-101,,,,,564
26OCT2022,29,972/19: 8:53-103,,,,,762
26OCT2022,30,997/19:23:14-105,,,,,855
26OCT2022,31,288/19:36:11-918,,,,,446
26OCT2022,32,969/19:59:38-721,,,,,729
26OCT2022,33,268/19:51: 3-109,,,,,403
26OCT2022,34,6/20:13: 3-323,,,,,554
26OCT2022,35,966/20:15:19-111,,,,,709
26OCT2022,36,298/20:22:25-113,,,,,469
26OCT2022,37,278/20:26:44-209,,,,,425
26OCT2022,38,18/20:26: 2-711,,,,,185
26OCT2022,39,29/20:45:17-301,,,,,462
26OCT2022,40,101/20:44:15-950,,,,,17
26OCT2022,41,302/20:51: 7-954,,,,,472
26OCT2022,42,287/20:57:51-213,,,,,444
26OCT2022,43,293/21:27:26-217,,,,,466
26OCT2022,44,134/22: 3:28-711,,,,,94
26OCT2022,45,311/22:11:60-313,,,,,480
26OCT2022,46,15/22:46:45-957,,,,,128
26OCT2022,47,314/22:53:47-965,,,,,486
26OCT2022,48,314/23: 4:51-965,,,,,487
26OCT2022,49,321/23:41:20-957,,,,,491
26OCT2022,50,288/ 0:11:55-721,,,,,445
26OCT2022,51,313/ 0:18:13-215,,,,,484
26OCT2022,52,977/ 0:45:11-303,,,,,763
26OCT2022,53,996/ 1: 6:13-307,,,,,829
26OCT2022,54,970/ 1:47:48-311,,,,,734
26OCT2022,55,231/ 2:17:12-325,,,,,353
26OCT2022,56,990/ 9:58: 6-113,160,0,10,2,811
26OCT2022,57,969/ 9:52:46-319,342,6,5,1,723
26OCT2022,58,86/ 9:58:35-221,103,1,7,1,660
26OCT2022,59,85/10: 2:41-405,125,3,10,3,658
26OCT2022,60,60/10: 2:29-101,141,6,13,8,558
26OCT2022,61,112/10: 5:31-209,78,0,1,1,38
26OCT2022,62,78/10: 4: 1-513,155,0,9,3,620
26OCT2022,63,97/10: 9:20-409,4,,0,0,731
26OCT2022,64,90/10: 2:39-407,4,,1,1,664
26OCT2022,65,996/10: 2:33-307,266,0,12,0,834
26OCT2022,66,116/10:16: 9-419,243,5,20,17,40
26OCT2022,67,28/10:24: 2-503,80,0,4,0,430
26OCT2022,68,8/10:13:42-115,108,0,8,6,636
26OCT2022,69,2/10: 9:31-321,300,0,3,1,229
26OCT2022,70,91/10:14: 1-223,105,3,6,3,667
26OCT2022,71,90/10:17: 3-407,185,4,15,9,665
26OCT2022,72,972/10:21:11-103,138,3,10,4,756
26OCT2022,73,117/10:18: 6-211,69,1,10,4,44
26OCT2022,74,24/10:19:51-515,83,0,5,1,375
26OCT2022,75,100/10:24:49-411,2,,0,0,6
26OCT2022,76,97/10:18:42-409,3,,0,0,732
26OCT2022,77,958/10:25:56-309,451,223,278,263,684
26OCT2022,78,118/10:28:44-421,239,0,7,2,46
26OCT2022,79,70/10:30:55-505,70,0,6,0,592
26OCT2022,80,20/10:28: 3-117,79,0,8,4,238
26OCT2022,81,6/10:25: 3-323,293,0,8,5,548
26OCT2022,82,98/10:27:57-201,116,25,24,22,787
26OCT2022,83,97/10:31: 3-409,159,33,53,40,733
26OCT2022,84,120/10:31:28-213,84,0,5,2,52
26OCT2022,85,997/10:32:38-105,98,0,11,7,849
26OCT2022,86,22944-38208-517-12,,,,,314
26OCT2022,87,105/10:39:50-413,10,,0,0,21
26OCT2022,88,100/10:41: 3-411,2,,1,0,7
26OCT2022,89,16/10:41: 1-311,144,52,51,46,144
26OCT2022,90,22944-38544-311-2,,,,,315
26OCT2022,91,121/10:39:59-423,216,3,12,3,54
26OCT2022,92,982/10:48:16-507,132,31,32,20,793
26OCT2022,93,968/10:44:58-119,130,50,89,84,714
26OCT2022,94,19/10:41: 3-325,223,0,10,3,202
26OCT2022,95,22944-38742-325-1,,,,,316
26OCT2022,96,102/10:42:30-203,89,0,6,2,19
26OCT2022,97,100/10:46:40-411,131,33,36,24,8
26OCT2022,98,956/10:46:17-107,160,0,4,0,676
26OCT2022,99,122/10:50:35-215,107,8,17,10,58
26OCT2022,100,42/11: 1:12-517,109,17,59,53,511
26OCT2022,101,108/10:54:50-415,7,,2,0,27
26OCT2022,102,105/10:48:22-413,1,,0,0,22
26OCT2022,103,74/10:48:24-313,176,47,51,35,610
26OCT2022,104,124/10:56:52-401,239,9,25,3,60
26OCT2022,105,998/10:57:50-509,67,0,6,2,861
26OCT2022,106,992/11: 7:21-121,65,0,3,2,820
26OCT2022,107,29/10:49:32-301,326,0,36,23,456
26OCT2022,108,107/10:57:53-205,102,0,7,1,25
26OCT2022,109,105/11: 3:15-413,149,16,16,12,23
26OCT2022,110,126/11: 2:26-217,57,1,4,1,64
26OCT2022,111,978/10:54:19-109,152,1,1,0,782
26OCT2022,112,15/11:20:21-501,76,0,8,7,118
26OCT2022,113,111/11:18:16-417,8,,5,5,35
26OCT2022,114,108/11: 8:52-415,3,,2,2,28
26OCT2022,115,101/11:14:31-315,222,2,13,6,11
26OCT2022,116,127/11:11:20-403,193,1,14,10,66
26OCT2022,117,78/11:11:31-511,114,0,4,0,621
26OCT2022,118,7/11:15:51-123,65,0,6,5,583
26OCT2022,119,977/11:14:45-303,312,149,130,114,768
26OCT2022,120,109/11:15:50-207,114,14,19,14,31
26OCT2022,121,108/11:22:29-415,193,75,74,64,29
26OCT2022,122,966/11:12:21-111,107,0,4,0,703
26OCT2022,123,128/11:17:54-219,81,0,8,1,70
26OCT2022,124,28/11:31: 6-503,95,10,18,17,431
26OCT2022,125,116/11:27:58-419,3,,0,0,41
26OCT2022,126,111/11:26: 8-417,2,,1,1,36
26OCT2022,127,961/11:26:39-317,153,18,26,22,692
26OCT2022,128,130/11:25:48-405,207,0,2,0,74
26OCT2022,129,24/11:30:18-513,130,0,3,0,376
26OCT2022,130,60/11:29:56-101,92,9,14,8,559
26OCT2022,131,970/11:28:35-305,276,141,140,130,740
26OCT2022,132,112/11:30:50-209,89,0,1,2,39
26OCT2022,133,111/11:33:15-417,154,58,43,38,37
26OCT2022,134,131/11:31:24-221,94,0,5,1,78
26OCT2022,135,990/11:25:29-113,143,0,8,0,812
26OCT2022,136,70/11:45:53-505,106,2,6,1,593
26OCT2022,137,118/11:39:49-421,1,,0,0,47
26OCT2022,138,116/11:37:23-419,1,,2,1,42
26OCT2022,139,969/11:37:27-319,195,0,19,10,724
26OCT2022,140,136/11:40:56-407,139,0,5,3,95
26OCT2022,141,132/11:55:54-515,100,0,8,2,80
26OCT2022,142,22944-42216-515-11,,,,,317
26OCT2022,143,972/11:44:58-103,105,6,13,5,757
26OCT2022,144,996/11:41:34-307,203,0,15,11,835
26OCT2022,145,117/11:45:44-211,120,8,13,7,45
26OCT2022,146,116/11:48:16-419,189,63,50,41,43
26OCT2022,147,8/11:48:56-115,79,2,11,9,637
26OCT2022,148,137/11:47:11-223,63,2,8,4,99
26OCT2022,149,982/11:58:41-507,145,4,18,10,794
26OCT2022,150,121/11:54:51-423,9,,0,0,55
26OCT2022,151,118/11:52: 1-421,4,,3,3,48
26OCT2022,152,2/11:52: 1-321,209,29,41,28,230
26OCT2022,153,141/12: 1:50-409,204,15,33,27,103
26OCT2022,154,42/12:10:15-517,182,59,62,57,512
26OCT2022,155,997/12: 1: 9-105,86,32,42,31,850
26OCT2022,156,134/11:53:28-309,227,0,39,28,88
26OCT2022,157,120/12: 0:51-213,117,2,3,2,53
