RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
02SEP2022,1,191/ 4:33:37-105,,,,,1
02SEP2022,2,198/ 4:39:21-303,,,,,10
02SEP2022,3,201/ 4:40:59-107,,,,,36
02SEP2022,4,300/ 4:53:46-305,,,,,99
02SEP2022,5,314/ 4:57:26-511,,,,,152
02SEP2022,6,288/ 4:59: 6-203,,,,,85
02SEP2022,7,415/ 5: 9:44-307,,,,,227
02SEP2022,8,395/ 5:14:35-111,,,,,181
02SEP2022,9,481/ 5:21:32-309,,,,,261
02SEP2022,10,479/ 5:23:39-113,,,,,251
02SEP2022,11,507/ 5:37:39-311,,,,,336
02SEP2022,12,506/ 5:39:48-115,,,,,321
02SEP2022,13,523/ 5:54:31-117,,,,,408
02SEP2022,14,529/ 6:12:56-119,,,,,433
02SEP2022,15,543/ 6:22:42-121,,,,,473
02SEP2022,16,553/ 6:38:57-123,,,,,490
02SEP2022,17,576/ 8: 9:29-211,,,,,536
02SEP2022,18,561/ 8:49: 3-611,,,,,517
02SEP2022,19,629/11:11:50-955,,,,,613
02SEP2022,20,629/11:18:38-955,,,,,614
02SEP2022,21,629/11:24:12-955,,,,,615
02SEP2022,22,639/11:58:18-215,,,,,630
02SEP2022,23,644/12:12:54-617,,,,,642
02SEP2022,24,659/13:36:18-918,,,,,675
02SEP2022,25,191/13:48:30-106,,,,,8
02SEP2022,26,384/14:38:17-715,,,,,180
02SEP2022,27,479/17:49:22-113,,,,,260
02SEP2022,28,734/17:50:49-958,,,,,786
02SEP2022,29,507/18:13:25-918,,,,,343
02SEP2022,30,734/18:18: 7-958,,,,,787
02SEP2022,31,523/18:19:36-117,,,,,417
02SEP2022,32,719/18:14: 3-615,,,,,765
02SEP2022,33,529/18:34:45-119,,,,,442
02SEP2022,34,506/18:37:27-215,,,,,331
02SEP2022,35,506/18:52:43-215,,,,,332
02SEP2022,36,543/18:53: 8-121,,,,,482
02SEP2022,37,506\19: 4:31-215,,,,,335
02SEP2022,38,506/19: 7: 7-215,93,0,3,0,334
02SEP2022,39,553/19: 7:32-123,,,,,499
02SEP2022,40,303/19:19:48-101,,,,,122
02SEP2022,41,200/19:36:51-103,,,,,35
02SEP2022,42,289/20:18:32-109,,,,,98
02SEP2022,43,744/20:36:12-209,,,,,809
02SEP2022,44,764/20:40:27-311,,,,,824
02SEP2022,45,538/20:45:20-725,,,,,466
