RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
18AUG2022,22875-19170-319-13,643,22875-19170-319-13,10,,,,,,,,,,,,,1
18AUG2022,22875-19614-319-2,646,22875-19614-319-2,10,,,,,,,,,,,,,2
18AUG2022,22875-20970-323-13,663,22875-20970-323-13,10,,,,,,,,,,,,,3
18AUG2022,22875-21414-323-2,667,22875-21414-323-2,10,,,,,,,,,,,,,4
18AUG2022,22875-23214-301-2,691,22875-23214-301-2,10,,,,,,,,,,,,,5
18AUG2022,22875-25200-319-1,718,22875-25200-319-1,10,,,,,,,,,,,,,6
18AUG2022,22875-27000-323-1,742,22875-27000-323-1,10,,,,,,,,,,,,,7
18AUG2022,22875-28800-301-1,766,22875-28800-301-1,10,,,,,,,,,,,,,8
18AUG2022,22875-31314-319-2,799,22875-31314-319-2,10,,,,,,,,,,,,,9
18AUG2022,22875-34422-205-4,842,22875-34422-205-4,8,,,,,,,,,,,,,10
18AUG2022,22875-34914-301-2,848,22875-34914-301-2,10,,,,,,,,,,,,,11
18AUG2022,22875-36900-319-1,80,22875-36900-319-1,10,,,,,,,,,,,,,12
18AUG2022,22875-39624-205-3,118,22875-39624-205-3,8,,,,,,,,,,,,,13
18AUG2022,22875-40500-301-1,129,22875-40500-301-1,10,,,,,,,,,,,,,14
18AUG2022,22875-50424-205-3,263,22875-50424-205-3,8,,,,,,,,,,,,,15
18AUG2022,22875-54744-411-7,321,22875-54744-411-7,10,,,,,,,,,,,,,16
18AUG2022,22875-59088-411-13,379,22875-59088-411-13,10,,,,,,,,,,,,,17
18AUG2022,22875-59964-411-14,390,22875-59964-411-14,10,,,,,,,,,,,,,18
18AUG2022,22875-60378-411-8,397,22875-60378-411-8,10,,,,,,,,,,,,,19
18AUG2022,22875-61752-107-5,413,22875-61752-107-5,10,,,,,,,,,,,,,20
18AUG2022,22875-62322-219-4,423,22875-62322-219-4,8,,,,,,,,,,,,,21
18AUG2022,22875-65562-411-7,464,22875-65562-411-7,10,,,,,,,,,,,,,22
18AUG2022,22875-66414-319-2,475,22875-66414-319-2,10,,,,,,,,,,,,,23
18AUG2022,22875-66564-217-3,479,22875-66564-217-3,8,,,,,,,,,,,,,24
18AUG2022,22875-67086-107-6,484,22875-67086-107-6,10,,,,,,,,,,,,,25
18AUG2022,22875-69906-411-13,517,22875-69906-411-13,10,,,,,,,,,,,,,26
18AUG2022,22875-70950-411-14,527,22875-70950-411-14,10,,,,,,,,,,,,,27
18AUG2022,22875-71364-411-8,532,22875-71364-411-8,10,,,,,,,,,,,,,28
18AUG2022,22875-85032-309-14,605,22875-85032-309-14,10,,,,,,,,,,,,,29
