RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
19AUG2022,1/ 5:23:48-515,653,22876-19686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,1
19AUG2022,1/ 6:43:51-515,714,22876-24702-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,2
19AUG2022,1/ 7:57:13-515,769,22876-28686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,3
19AUG2022,1/ 9:14:55-515,835,22876-33702-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,4
19AUG2022,1/10:28: 3-515,95,22876-37686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,5
19AUG2022,1/12:56:52-515,218,22876-46686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,6
19AUG2022,1/14:17:43-515,283,22876-51702-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,7
19AUG2022,1/15:29:27-515,342,22876-55686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,8
19AUG2022,1/16:43:51-515,407,22876-60702-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,9
19AUG2022,1/17:58:30-515,461,22876-64686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,10
19AUG2022,1/19:16:26-515,521,22876-69702-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,11
19AUG2022,1/20:28: 3-515,554,22876-73686-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,12
19AUG2022,1/21:33:24-515,577,22876-78090-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,13
19AUG2022,1/22:47:26-515,595,22876-82050-515-12,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,14
19AUG2022,1/23:59:58-515,618,22876-87156-515-11,10,9,0,424,1531,1626,1889,1667,1834,1744,1750,357,,15
19AUG2022,11/ 5:38:44-115,12,11/ 5:38:44-115,,10,1,3003,4021,4240,4116,3149,3134,4108,4204,4013,3058,16
19AUG2022,112/ 8: 9: 3-403,780,22876-29544-403-7,10,10,1,3077,4107,4142,4208,4076,4225,4167,4036,4191,3090,17
19AUG2022,112/ 9:24: 1-403,839,22876-33888-403-13,10,10,,,,,,,,,,,,18
19AUG2022,112/ 9:33:56-403,850,22876-34764-403-14,10,10,,,,,,,,,,,,19
19AUG2022,112/ 9:44:39-403,857,22876-35178-403-8,10,10,1,3077,4107,4142,4208,4076,4225,4167,4036,4191,3090,20
19AUG2022,113/ 8:17:15-219,785,22876-29922-219-4,8,8,1,3051,4157,4129,3112,3081,4073,4233,3098,,,21
19AUG2022,113/ 9:48:57-219,856,22876-35124-219-3,8,8,1,3051,4157,4129,3112,3081,4073,4233,3098,,,22
19AUG2022,119/ 8:28:12-405,792,22876-30444-405-7,10,10,0,1212,1625,1883,1645,1505,311,1631,1510,1749,1250,23
19AUG2022,119/ 9:39:50-405,851,22876-34788-405-13,10,10,,,,,,,,,,,,24
19AUG2022,119/ 9:52:56-405,862,22876-35664-405-14,10,10,,,,,,,,,,,,25
19AUG2022,119/10: 0:45-405,74,22876-36078-405-8,10,10,0,1212,1625,1883,1645,1505,311,1631,1510,1749,1250,26
19AUG2022,12/ 5:38: 8-311,11,12/ 5:38: 8-311,,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,27
19AUG2022,12/ 5:55:18-311,674,22876-21600-311-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,28
19AUG2022,12/ 7:35:20-311,755,22876-27714-311-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,29
19AUG2022,12/ 9:16: 1-311,831,22876-33300-311-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,30
19AUG2022,12/10:52:25-311,118,22876-39414-311-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,31
19AUG2022,12/12:29:34-311,195,22876-45000-311-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,32
19AUG2022,12/14: 3:51-311,276,22876-51114-311-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,33
19AUG2022,12/15:43:31-311,355,22876-56700-311-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,34
19AUG2022,12/17:15:34-311,436,22876-62814-311-2,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,35
19AUG2022,12/18:57: 5-311,507,22876-68400-311-1,10,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,36
19AUG2022,12/20:39:42-311,54,12/20:39:42-311,,10,1,3087,4165,4079,4040,3018,3146,4065,4032,4130,3111,37
19AUG2022,122/ 8:31:11-221,797,22876-30822-221-4,8,8,1,3060,4158,4039,4112,4106,4229,4228,3106,,,38
19AUG2022,122/10: 4:23-221,73,22876-36024-221-3,8,8,1,3060,4158,4039,4112,4106,4229,4228,3106,,,39
19AUG2022,125/ 8:43:23-407,804,22876-31344-407-7,10,9,0,1248,1527,1568,1515,1642,1731,1804,1754,1247,,40
19AUG2022,125/ 9:52:52-407,863,22876-35688-407-13,10,9,,,,,,,,,,,,41
19AUG2022,125/10: 2:10-407,79,22876-36564-407-14,10,9,,,,,,,,,,,,42
19AUG2022,125/10:16:15-407,86,22876-36978-407-8,10,9,0,1248,1527,1568,1515,1642,1731,1804,1754,1247,,43
19AUG2022,126/ 0:10:36-313,616,22876-86832-313-14,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,44
19AUG2022,126/10:18: 8-307,93,22876-37614-307-2,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,45
19AUG2022,126/11:58:45-307,170,22876-43200-307-1,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,46
19AUG2022,126/13:35: 6-307,252,22876-49314-307-2,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,47
19AUG2022,126/15:17:49-307,330,22876-54900-307-1,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,48
19AUG2022,126/16:53:59-307,412,22876-61014-307-2,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,49
19AUG2022,126/18:30:35-307,485,22876-66600-307-1,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,50
19AUG2022,126/22:38:43-313,592,22876-81366-313-1,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,53
19AUG2022,126\ 8:42:34-307,806,22876-31500-307-1,10,10,0,418,1850,1660,1561,1636,1738,1593,1696,1746,1275,54
19AUG2022,127/ 8:43:37-321,790,22876-30288-419-13,10,10,1,3038,4056,4175,4133,3072,3115,4163,4134,4060,3039,55
19AUG2022,127/ 8:49:40-321,815,22876-32214-321-2,10,10,1,3038,4056,4175,4133,3072,3115,4163,4134,4060,3039,56
19AUG2022,127/10:42:30-721,21,127/10:42:30-721,,10,1,3038,4056,4175,4133,3072,3115,4163,4134,4060,3039,57
19AUG2022,129/ 8:46:16-225,809,22876-31722-225-4,8,7,0,376,1699,1615,1583,1817,1587,1245,,,,58
19AUG2022,129/10:16:52-225,85,22876-36924-225-3,8,7,0,376,1699,1615,1583,1817,1587,1245,,,,59
19AUG2022,13/ 5:41:31-215,662,22876-20580-215-4,8,8,0,423,1875,1805,1897,362,1808,1842,1205,,,60
19AUG2022,133/ 8:52:33-409,816,22876-32244-409-7,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,61
19AUG2022,133/10: 9:49-409,80,22876-36588-409-13,10,10,,,,,,,,,,,,62
19AUG2022,133/10:18:18-409,91,22876-37464-409-14,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,63
19AUG2022,133/10:31:16-409,98,22876-37878-409-8,10,10,1,3085,4093,4097,4012,3153,3032,4217,4237,4183,3084,64
19AUG2022,137/ 8:58:55-201,821,22876-32622-201-4,8,7,0,1219,1600,1582,405,1901,1751,339,,,,65
19AUG2022,137/10:35:30-201,97,22876-37824-201-3,8,8,0,1219,1600,1582,405,1901,1751,339,,,,66
19AUG2022,14/ 0: 1:26-309,615,22876-86490-309-2,10,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,67
19AUG2022,14/ 1:56:38-309,70,14/ 1:56:38-309,,10,1,3095,4006,4028,4061,3065,3053,4151,4015,4139,3089,68
