RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
18SEP2022,1/ 7:31:16-401,401,22906-27162-401-7,10,10,1,3081,4044,4112,4098,4074,3160,4127,4093,4212,3012,1
18SEP2022,1/ 8:47: 3-401,431,22906-31446-401-13,10,10,1,3081,4044,4112,4098,4074,3160,4127,4093,4212,3012,2
18SEP2022,1/ 8:56:45-401,440,22906-32634-401-14,10,10,1,3081,4044,4112,4098,4074,3160,4127,4093,4212,3012,3
18SEP2022,1/ 9: 9:44-401,442,22906-33006-401-8,10,10,1,3081,4044,4112,4098,4074,3160,4127,4093,4212,3012,4
18SEP2022,102/14:54:56-407,212,22906-54162-407-7,10,10,1,3127,4033,4094,4056,3111,3017,4005,4040,4053,3078,5
18SEP2022,102/16:14: 7-407,241,22906-58446-407-13,10,10,1,3127,4033,4094,4056,3111,3017,4005,4040,4053,3078,6
18SEP2022,102/16:29:19-407,250,22906-59634-407-14,10,10,1,3127,4033,4094,4056,3111,3017,4005,4040,4053,3078,7
18SEP2022,102/16:38:20-407,252,22906-60006-407-8,10,10,1,3127,4033,4094,4056,3111,3017,4005,4040,4053,3078,8
18SEP2022,103/15: 0:44-109,44,103/15: 0:44-109,,10,0,327,1648,1640,1713,1567,1906,1555,1842,1841,1235,9
18SEP2022,103/15:50:38-109,235,22906-57720-109-5,10,10,0,327,1648,1640,1713,1567,1906,1555,1842,1841,1235,10
18SEP2022,103/17:32: 3-109,272,22906-63120-109-6,10,10,0,327,1648,1640,1713,1567,1906,1555,1842,1841,1235,11
18SEP2022,103/19: 7:17-109,47,103/19: 7:17-109,,10,0,327,1648,1640,1713,1567,1906,1555,1842,1841,1235,12
18SEP2022,104/15:21:11-203,220,22906-55164-203-4,8,8,1,3014,4217,4229,3106,4109,4119,4233,3085,,,13
18SEP2022,104/17: 4:11-205,268,22906-62154-205-3,8,8,1,3014,4217,4229,3106,4109,4119,4233,3085,,,14
18SEP2022,105/15:11:60-209,219,22906-54954-209-3,8,8,0,1205,1859,1744,1689,1503,1559,1699,1262,,,15
18SEP2022,11/ 1:59: 9-303,61,11/ 1:59: 9-303,,10,0,1265,1702,1696,1669,1853,1734,1544,1850,1594,1239,16
18SEP2022,11/ 7:46:12-918,4,11/ 7:46:12-918,,10,0,1265,1702,1696,1669,1853,1734,1544,1850,1594,1239,17
