RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
04OCT2022,789,802\ 8:12:18-403,747,0,5,2,680
04OCT2022,790,701/ 8: 7:48-507,430,304,316,305,499
04OCT2022,791,690/ 8:14:57-123,235,3,13,4,446
04OCT2022,792,652/ 8: 4:20-305,1020,147,122,108,283
04OCT2022,793,752/ 8:16:17-207,262,0,10,3,613
04OCT2022,794,749\ 8:16:41-415,460,84,27,21,611
04OCT2022,795,639\ 8:15:18-111,395,2,4,0,201
04OCT2022,796,805/ 8:16:28-219,173,11,38,28,686
04OCT2022,797,738/ 8:20:27-519,409,38,81,59,578
04OCT2022,798,22922-30288-419-13,,,,,105
04OCT2022,799,754/ 8:17:60-417,9,,6,6,616
04OCT2022,800,707/ 8:27: 3-319,425,0,3,1,535
04OCT2022,801,808/ 8:26:27-405,719,356,338,316,688
04OCT2022,802,671/ 8:19:34-509,328,1,5,2,360
04OCT2022,803,809/ 8:32:60-101,325,37,55,50,692
04OCT2022,804,664/ 8:27:45-307,724,6,27,12,319
04OCT2022,805,757/ 8:29:14-209,223,0,4,1,619
04OCT2022,806,754/ 8:33:15-417,315,7,16,9,617
04OCT2022,807,812/ 8:32:43-221,203,61,86,77,700
04OCT2022,808,746/ 8:29:16-113,337,4,16,10,599
04OCT2022,809,716/ 8:40: 3-501,260,0,5,2,555
04OCT2022,810,768/ 8:42:36-421,7,,0,0,633
04OCT2022,811,22922-31284-419-14,,,,,106
04OCT2022,812,665\ 8:47: 3-321,370,23,41,35,339
04OCT2022,813,818/ 8:41:34-407,376,1,13,9,702
04OCT2022,814,661/ 8:36:28-511,299,0,1,1,310
04OCT2022,815,763/ 8:47:46-103,166,16,15,8,623
04OCT2022,816,688/ 8:43:53-309,642,339,313,295,438
04OCT2022,817,762/ 8:42: 7-211,225,17,23,13,621
04OCT2022,818,22922-31716-419-8,,,,,107
04OCT2022,819,640/ 8:41: 8-115,307,0,7,1,207
04OCT2022,820,820/ 8:50:18-223,72,26,27,23,708
04OCT2022,821,648/ 8:57:22-503,334,78,62,41,251
04OCT2022,822,779/ 8:58:53-423,2,,0,0,652
04OCT2022,823,768/ 8:54:24-421,4,,3,3,634
04OCT2022,824,682/ 8:57: 4-323,271,16,18,11,409
04OCT2022,825,821/ 8:54: 3-409,317,0,2,1,710
04OCT2022,826,676/ 8:48:34-513,219,0,11,5,388
04OCT2022,827,782\ 9: 2:11-105,115,0,8,3,667
04OCT2022,828,698/ 8:59: 4-311,466,0,20,10,479
04OCT2022,829,772/ 9: 0:20-213,166,0,6,1,637
04OCT2022,830,768/ 9: 3:16-421,281,70,68,63,635
04OCT2022,831,826/ 8:59:12-201,100,0,4,0,714
04OCT2022,832,685/ 9: 0:23-117,245,0,6,1,427
04OCT2022,833,692/ 9: 6:59-505,143,1,3,1,455
04OCT2022,834,790/ 9:14: 4-401,1,,1,1,672
04OCT2022,835,779/ 9: 7:24-423,5,,0,0,653
04OCT2022,836,646/ 9: 7:21-325,231,14,36,23,235
04OCT2022,837,831/ 9:12:40-411,332,0,4,3,716
04OCT2022,838,696/ 9: 4:19-515,190,0,6,0,466
04OCT2022,839,651\ 9:14:57-107,172,0,10,4,280
04OCT2022,840,777/ 9:13: 3-313,441,0,17,4,640
04OCT2022,841,788/ 9:15:51-215,125,0,5,3,668
04OCT2022,842,779/ 9:18:21-423,206,0,22,0,654
04OCT2022,843,702/ 9:16:25-119,221,0,5,0,512
04OCT2022,844,834/ 9:15:16-203,122,21,29,26,720
04OCT2022,845,701/ 9:25:36-507,199,6,15,9,500
