DayType,RevDate,TS,SchDate,SchCode,SDispatch,STrain,SRoute,SLength,RunOrder,SOrigin,SDest,SDO,SDC,LastStation,LinkMiles,RunTime,Dwell,Key,Order,TotalRunTime,TotalDwell,RemainingDwell,RemainingRunTime,RemainingRecoveryTime,RUNKEY,Train,Length,Route,DO,DC,Origin,Dest,SDisp,GateEntries,GateExits,TrainEntries,TrainExits,TransfersOff,TransfersOn,Location,LastLoc,OnePassups,MultiPassups,TrackNumber,ReverseRun,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,NoService,Flow,LinkRunDelay,Lateness,DwellDelay,PL,TotalPatronsDO,TotalPatronsDC,Destination,Dir,Exits,HPOT,LPOT,UPOT,Color,SRK,ScheduleNote,Delay,Delayed,FOTF,EOL
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,667/ 7:10:53-307,307,10,340,7:11:47,7:11:47,W40,Y10,"",0,0,0,0,0,0,W40,"",0,0,2,1,1265,1702,1696,1669,1649,1853,1544,1850,1594,1239,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,667/ 7:10:53-307,"",0,0,0,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,667/ 7:10:53-307,307,10,340,7:21:02,7:21:02,W40,Y10,"",0,0,0,0,0,0,Y10,W40,0,0,1,1,1265,1702,1696,1669,1649,1853,1544,1850,1594,1239,0,0,0,0,0,6,0,0,"",1,,,,,Unscheduled,667/ 7:10:53-307,"",0,0,0,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/ 1: 8:46-225,225,9,910,25:09:50,25:09:50,S50,A80,"",0,0,0,0,0,0,S50,"",0,0,1,-1,,,,,,,,,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/ 1: 8:46-225,"",0,0,,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/ 1: 8:46-225,225,9,910,25:20:49,25:20:49,S50,A80,"",0,0,0,0,0,0,S40,S50,0,0,2,1,,,,,,,,,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/ 1: 8:46-225,"",0,0,,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/ 1: 8:46-225,225,9,910,25:27:13,25:27:13,S50,A80,"",0,0,0,0,0,0,S20,S40,0,0,2,1,,,,,,,,,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/ 1: 8:46-225,"",0,0,,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/ 1: 8:46-225,225,9,910,25:32:42,25:32:42,S50,A80,"",0,0,0,0,0,0,A90,S20,0,0,2,1,,,,,,,,,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/ 1: 8:46-225,"",0,0,,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/ 1: 8:46-225,225,9,910,25:37:01,25:37:01,S50,A80,"",0,0,0,0,0,0,A80,A90,0,0,1,-1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,670/ 1: 8:46-225,"",0,0,,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/23:33:45-225,225,9,910,23:48:29,23:48:29,S50,A80,"",0,0,0,0,0,0,S50,"",0,0,2,1,3104,4197,4028,4141,3109,3132,4203,4155,3112,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,670/23:33:45-225,"",0,0,1,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/23:33:45-225,225,9,910,23:52:26,23:52:26,S50,A80,"",0,0,0,0,0,0,S40,S50,0,0,2,1,3104,4197,4028,4141,3109,3132,4203,4155,3112,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/23:33:45-225,"",0,0,1,
Sunday,25SEP2022,26SEP1922:05:24:41.000000,24SEP2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,670/23:33:45-225,225,9,910,23:59:50,23:59:50,S50,A80,"",0,0,0,0,0,0,S20,S40,0,0,2,1,3104,4197,4028,4141,3109,3132,4203,4155,3112,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,670/23:33:45-225,"",0,0,1,
