DayType,RevDate,TS,SchDate,SchCode,SDispatch,STrain,SRoute,SLength,RunOrder,SOrigin,SDest,SDO,SDC,LastStation,LinkMiles,RunTime,Dwell,Key,Order,TotalRunTime,TotalDwell,RemainingDwell,RemainingRunTime,RemainingRecoveryTime,RUNKEY,Train,Length,Route,DO,DC,Origin,Dest,SDisp,GateEntries,GateExits,TrainEntries,TrainExits,TransfersOff,TransfersOn,Location,LastLoc,OnePassups,MultiPassups,TrackNumber,ReverseRun,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,NoService,Flow,LinkRunDelay,Lateness,DwellDelay,PL,TotalPatronsDO,TotalPatronsDC,Destination,Dir,Exits,HPOT,LPOT,UPOT,Color,SRK,ScheduleNote,Delay,Delayed,FOTF,EOL
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,28/23:17:40-311,311,10,770,23:17:59,23:17:59,C60,C88,"",0,0,0,0,0,0,C60,"",0,0,1,1,1249,1837,1632,1589,1813,1660,1772,1853,1711,416,1,0,0,0,0,4,0,0,"",1,,,,,Unscheduled,28/23:17:40-311,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,28/23:17:40-311,311,10,770,23:20:58,23:20:58,C60,C88,"",0,0,0,0,0,0,C70,C60,0,0,1,1,1249,1837,1632,1589,1813,1660,1772,1853,1711,416,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,28/23:17:40-311,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,28/23:17:40-311,311,10,770,23:27:29,23:27:29,C60,C88,"",0,0,0,0,0,0,C80,C70,0,0,1,1,1249,1837,1632,1589,1813,1660,1772,1853,1711,416,1,0,0,0,0,2,0,0,"",1,,,,,Unscheduled,28/23:17:40-311,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,28/23:17:40-311,311,10,770,23:29:02,23:29:02,C60,C88,"",0,0,0,0,0,0,C88,C80,0,0,2,-1,1249,1837,1632,1589,1813,1660,1772,1853,1711,416,1,0,0,0,0,2,0,0,"",1,,,,,Unscheduled,28/23:17:40-311,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,36/ 0:45:21-301,301,10,770,24:51:58,24:51:58,C80,C60,"",0,0,0,0,0,0,C80,"",0,0,2,1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,36/ 0:45:21-301,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,36/ 0:45:21-301,301,10,770,24:57:29,24:57:29,C80,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,36/ 0:45:21-301,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,36/ 0:45:21-301,301,10,770,24:59:41,24:59:41,C80,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,,,,,,,,,,,1,0,0,0,0,4,0,0,"",2,,,,,Unscheduled,36/ 0:45:21-301,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/ 6:54:40-307,307,10,340,6:55:34,6:55:34,W40,Y10,"",0,0,0,0,0,0,W40,"",0,0,2,1,1249,1837,1632,1589,1813,1660,1772,1853,1711,352,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,763/ 6:54:40-307,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/ 6:54:40-307,307,10,340,6:58:09,6:58:09,W40,Y10,"",0,0,0,0,0,0,Y10,W40,0,0,1,1,1249,1837,1632,1589,1813,1660,1772,1853,1711,352,0,0,0,0,0,6,0,0,"",1,,,,,Unscheduled,763/ 6:54:40-307,"",0,0,0,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/22:50:40-707,707,10,770,22:56:15,22:56:15,C80,C60,"",0,0,0,0,0,0,C80,"",0,0,2,1,,,,,,,,,,,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,763/22:50:40-707,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/22:50:40-707,707,10,770,23:02:10,23:02:10,C80,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,,,,,,,,,,,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,763/22:50:40-707,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/22:50:40-707,707,10,770,23:02:20,23:02:20,C80,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,,,,,,,,,,,0,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,763/22:50:40-707,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,763/22:50:40-707,707,10,770,23:04:46,23:04:46,C80,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,,,,,,,,,,,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,763/22:50:40-707,"",0,0,,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,771/ 1:19: 3-221,221,8,910,25:20:07,25:20:07,S50,A80,"",0,0,0,0,0,0,S50,"",0,0,2,1,3108,4182,4155,4127,3030,4193,4113,3070,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,771/ 1:19: 3-221,"",0,0,1,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,771/ 1:19: 3-221,221,8,910,25:23:54,25:23:54,S50,A80,"",0,0,0,0,0,0,S40,S50,0,0,2,1,3108,4182,4155,4127,3030,4193,4113,3070,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,771/ 1:19: 3-221,"",0,0,1,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,771/ 1:19: 3-221,221,8,910,25:30:18,25:30:18,S50,A80,"",0,0,0,0,0,0,S20,S40,0,0,2,1,3108,4182,4155,4127,3030,4193,4113,3070,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,771/ 1:19: 3-221,"",0,0,1,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,771/ 1:19: 3-221,221,8,910,25:35:40,25:35:40,S50,A80,"",0,0,0,0,0,0,A90,S20,0,0,2,1,3108,4182,4155,4127,3030,4193,4113,3070,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,771/ 1:19: 3-221,"",0,0,1,
Sunday,14AUG2022,15AUG1922:05:24:42.000000,30APR2022,Md,"",,,,,"","","","","",,,,"",,,,,,,771/ 1:19: 3-221,221,8,910,25:39:38,25:39:38,S50,A80,"",0,0,0,0,0,0,A80,A90,0,0,1,-1,3108,4182,4155,4127,3030,4193,4113,3070,,,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,771/ 1:19: 3-221,"",0,0,1,
