DayType,RevDate,TS,SchDate,SchCode,SDispatch,STrain,SRoute,SLength,RunOrder,SOrigin,SDest,SDO,SDC,LastStation,LinkMiles,RunTime,Dwell,Key,Order,TotalRunTime,TotalDwell,RemainingDwell,RemainingRunTime,RemainingRecoveryTime,RUNKEY,Train,Length,Route,DO,DC,Origin,Dest,SDisp,GateEntries,GateExits,TrainEntries,TrainExits,TransfersOff,TransfersOn,Location,LastLoc,OnePassups,MultiPassups,TrackNumber,ReverseRun,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,NoService,Flow,LinkRunDelay,Lateness,DwellDelay,PL,TotalPatronsDO,TotalPatronsDC,Destination,Dir,Exits,HPOT,LPOT,UPOT,Color,SRK,ScheduleNote,Delay,Delayed,FOTF,EOL
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 0:34: 4-321,321,10,770,24:34:56,24:34:56,C88,C60,"",0,0,0,0,0,0,C88,"",0,0,2,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,2/ 0:34: 4-321,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 0:34: 4-321,321,10,770,24:42:41,24:42:41,C88,C60,"",0,0,0,0,0,0,C80,C88,0,0,2,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,1,0,0,0,0,3,0,0,"",2,,,,,Unscheduled,2/ 0:34: 4-321,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 0:34: 4-321,321,10,770,24:48:34,24:48:34,C88,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,2/ 0:34: 4-321,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 0:34: 4-321,321,10,770,24:51:00,24:51:00,C88,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,1,0,0,0,0,4,0,0,"",2,,,,,Unscheduled,2/ 0:34: 4-321,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 6:10:22-319,319,10,340,6:11:16,6:11:16,W40,Y10,"",0,0,0,0,0,0,W40,"",0,0,2,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,0,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,2/ 6:10:22-319,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 6:10:22-319,319,10,340,6:13:11,6:13:11,W40,Y10,"",0,0,0,0,0,0,Y10,W40,0,0,1,1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,0,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,2/ 6:10:22-319,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,2/ 6:13:51-319,319,10,2,7:54:27,7:54:27,Y10,C88,6:13:54,0,1,0,1,0,0,C88,C80,0,0,2,-1,3009,4017,4225,4232,4006,3029,4011,4147,4206,3038,0,1,0,0,0,2,1,0,"",1,,,,,Yellow,2/ 6:13:51-319,OL,0,1,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 0:50:20-309,309,10,430,24:54:41,24:54:41,Y10,W40,"",2,0,23,0,0,21,Y10,"",0,0,2,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,0,0,0,0,0,5,0,23,"",2,,,,,Unscheduled,4/ 0:50:20-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 0:50:20-309,309,10,430,24:57:55,24:57:55,Y10,W40,"",0,23,0,23,0,0,W40,Y10,0,0,2,-1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,0,23,0,0,0,0,23,0,"",1,,,,,Unscheduled,4/ 0:50:20-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 6:14:57-309,309,10,770,6:15:15,6:15:15,C60,C88,"",0,0,0,0,0,0,C60,"",0,0,1,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,1,0,0,0,0,5,0,0,"",1,,,,,Unscheduled,4/ 6:14:57-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 6:14:57-309,309,10,770,6:17:59,6:17:59,C60,C88,"",0,0,0,0,0,0,C70,C60,0,0,1,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,4/ 6:14:57-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 6:14:57-309,309,10,770,6:26:21,6:26:21,C60,C88,"",0,0,0,0,0,0,C80,C70,0,0,1,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,1,0,0,0,0,6,0,0,"",1,,,,,Unscheduled,4/ 6:14:57-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/ 6:14:57-309,309,10,770,6:29:45,6:29:45,C60,C88,"",0,0,0,0,0,0,C88,C80,0,0,2,-1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,1,0,0,0,0,6,0,0,"",1,,,,,Unscheduled,4/ 6:14:57-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/21:28:10-309,309,10,430,21:28:53,21:28:53,Y10,W40,"",12,0,40,0,0,28,Y10,"",0,1,2,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,0,0,0,0,0,5,0,40,"",2,,,,,Unscheduled,4/21:28:10-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,4/21:28:10-309,309,10,430,21:32:42,21:32:42,Y10,W40,"",0,40,0,40,0,0,W40,Y10,0,0,3,1,1252,1879,1826,1910,1536,1695,1894,1717,1574,391,0,40,0,0,0,5,40,0,"",1,,,,,Unscheduled,4/21:28:10-309,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,7/19: 5:38-705,705,10,770,19:06:42,19:06:42,C88,C60,"",0,0,0,0,0,0,C88,"",0,0,2,1,,,,,,,,,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,7/19: 5:38-705,"",0,0,,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,7/19: 5:38-705,705,10,770,19:08:07,19:08:07,C88,C60,"",0,0,0,0,0,0,C80,C88,0,0,2,1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,7/19: 5:38-705,"",0,0,,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,7/19: 5:38-705,705,10,770,19:13:56,19:13:56,C88,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,7/19: 5:38-705,"",0,0,,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,7/19: 5:38-705,705,10,770,19:16:09,19:16:09,C88,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,,,,,,,,,,,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,7/19: 5:38-705,"",0,0,,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,12/19: 4:31-105,105,10,910,19:08:18,19:08:18,S50,A80,"",0,0,0,0,0,0,S50,"",0,0,1,-1,432,1549,1913,1579,1538,1743,1814,1685,1537,1262,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,12/19: 4:31-105,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,12/19: 4:31-105,105,10,910,19:12:40,19:12:40,S50,A80,"",0,0,0,0,0,0,S40,S50,0,0,2,1,432,1549,1913,1579,1538,1743,1814,1685,1537,1262,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,12/19: 4:31-105,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,12/19: 4:31-105,105,10,910,19:19:25,19:19:25,S50,A80,"",0,0,0,0,0,0,S20,S40,0,0,2,1,432,1549,1913,1579,1538,1743,1814,1685,1537,1262,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,12/19: 4:31-105,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,12/19: 4:31-105,105,10,910,19:24:32,19:24:32,S50,A80,"",0,0,0,0,0,0,A90,S20,0,0,2,1,432,1549,1913,1579,1538,1743,1814,1685,1537,1262,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,12/19: 4:31-105,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,12/19: 4:31-105,105,10,910,19:27:20,19:27:20,S50,A80,"",0,0,0,0,0,0,A80,A90,0,0,2,1,432,1549,1913,1579,1538,1743,1814,1685,1537,1262,1,0,0,0,0,5,0,0,"",2,,,,,Unscheduled,12/19: 4:31-105,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/ 6:29:31-311,311,10,770,6:29:50,6:29:50,C60,C80,"",0,0,0,0,0,0,C60,"",0,0,1,1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,5,0,0,"",1,,,,,Unscheduled,14/ 6:29:31-311,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/ 6:29:31-311,311,10,770,6:33:28,6:33:28,C60,C80,"",0,0,0,0,0,0,C70,C60,0,0,1,1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,14/ 6:29:31-311,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/ 6:29:31-311,311,10,770,6:40:16,6:40:16,C60,C80,"",0,0,0,0,0,0,C80,C70,0,0,1,1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,6,0,0,"",1,,,,,Unscheduled,14/ 6:29:31-311,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/13:11:23-711,711,10,770,13:12:15,13:12:15,C80,C60,"",0,0,0,0,0,0,C80,"",0,0,1,-1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,14/13:11:23-711,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/13:11:23-711,711,10,770,13:26:08,13:26:08,C80,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,14/13:11:23-711,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,14/13:11:23-711,711,10,770,13:28:21,13:28:21,C80,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,3127,4114,4218,4173,4207,4096,4050,4228,4163,3056,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,14/13:11:23-711,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,20/ 7:46:50-950,950,8,110,7:47:54,7:47:54,A50,A70,"",0,0,0,0,0,0,A50,"",0,0,2,-1,1276,1874,1836,1718,1645,1851,1522,1266,,,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,20/ 7:46:50-950,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,20/ 7:46:50-950,950,8,110,8:02:02,8:02:02,A50,A70,"",0,0,0,0,0,0,A60,A50,0,0,1,1,1276,1874,1836,1718,1645,1851,1522,1266,,,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,20/ 7:46:50-950,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,20/ 7:46:50-950,950,8,110,8:06:16,8:06:16,A50,A70,"",0,0,0,0,0,0,A70,A60,0,0,1,1,1276,1874,1836,1718,1645,1851,1522,1266,,,1,0,0,0,0,5,0,0,"",1,,,,,Unscheduled,20/ 7:46:50-950,"",0,0,0,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/ 6:43: 1-918,918,10,770,6:43:20,6:43:20,C60,C88,"",0,0,0,0,0,0,C60,"",0,0,1,1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,5,0,0,"",1,,,,,Unscheduled,21/ 6:43: 1-918,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/ 6:43: 1-918,918,10,770,6:46:57,6:46:57,C60,C88,"",0,0,0,0,0,0,C70,C60,0,0,1,1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,0,0,0,"",1,,,,,Unscheduled,21/ 6:43: 1-918,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/ 6:43: 1-918,918,10,770,6:54:56,6:54:56,C60,C88,"",0,0,0,0,0,0,C80,C70,0,0,1,1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,2,0,0,"",1,,,,,Unscheduled,21/ 6:43: 1-918,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/ 6:43: 1-918,918,10,770,6:56:52,6:56:52,C60,C88,"",0,0,0,0,0,0,C88,C80,0,0,2,-1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,2,0,0,"",1,,,,,Unscheduled,21/ 6:43: 1-918,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/10: 9:38-713,713,10,770,10:11:11,10:11:11,C80,C60,"",0,0,0,0,0,0,C80,"",0,0,1,-1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,21/10: 9:38-713,"",0,0,1,
Saturday,05NOV2022,07NOV1922:08:00:03.000000,12SEP2022,SA,"",,,,,"","","","","",,,,"",,,,,,,21/10: 9:38-713,713,10,770,10:26:00,10:26:00,C80,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,3079,4111,4018,4165,4016,3081,4027,4034,4052,3157,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,21/10: 9:38-713,"",0,0,1,
