DayType,RevDate,TS,SchDate,SchCode,SDispatch,STrain,SRoute,SLength,RunOrder,SOrigin,SDest,SDO,SDC,LastStation,LinkMiles,RunTime,Dwell,Key,Order,TotalRunTime,TotalDwell,RemainingDwell,RemainingRunTime,RemainingRecoveryTime,RUNKEY,Train,Length,Route,DO,DC,Origin,Dest,SDisp,GateEntries,GateExits,TrainEntries,TrainExits,TransfersOff,TransfersOn,Location,LastLoc,OnePassups,MultiPassups,TrackNumber,ReverseRun,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,NoService,Flow,LinkRunDelay,Lateness,DwellDelay,PL,TotalPatronsDO,TotalPatronsDC,Destination,Dir,Exits,HPOT,LPOT,UPOT,Color,SRK,ScheduleNote,Delay,Delayed,FOTF,EOL
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,42/ 0:16:54-209,209,8,910,24:17:58,24:17:58,S50,A80,"",0,0,0,0,0,0,S50,"",0,0,2,1,3046,4243,4090,3074,4043,4083,4194,3082,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,42/ 0:16:54-209,"",0,0,1,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,42/ 0:16:54-209,209,8,910,24:27:29,24:27:29,S50,A80,"",0,0,0,0,0,0,S40,S50,0,0,2,1,3046,4243,4090,3074,4043,4083,4194,3082,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,42/ 0:16:54-209,"",0,0,1,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,42/ 0:16:54-209,209,8,910,24:35:19,24:35:19,S50,A80,"",0,0,0,0,0,0,S20,S40,0,0,2,1,3046,4243,4090,3074,4043,4083,4194,3082,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,42/ 0:16:54-209,"",0,0,1,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,42/ 0:16:54-209,209,8,910,24:40:18,24:40:18,S50,A80,"",0,0,0,0,0,0,A90,S20,0,0,2,1,3046,4243,4090,3074,4043,4083,4194,3082,,,1,0,0,0,0,0,0,0,"",2,,,,,Unscheduled,42/ 0:16:54-209,"",0,0,1,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,42/ 0:16:54-209,209,8,910,24:42:57,24:42:57,S50,A80,"",0,0,0,0,0,0,A80,A90,0,0,2,1,3046,4243,4090,3074,4043,4083,4194,3082,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,42/ 0:16:54-209,"",0,0,1,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,45/23:58: 4-323,323,10,770,24:01:19,24:01:19,C88,C60,"",0,0,0,0,0,0,C88,"",0,0,2,1,,,,,,,,,,,1,0,0,0,0,2,0,0,"",2,,,,,Unscheduled,45/23:58: 4-323,"",0,0,,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,45/23:58: 4-323,323,10,770,24:02:47,24:02:47,C88,C60,"",0,0,0,0,0,0,C80,C88,0,0,2,1,,,,,,,,,,,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,45/23:58: 4-323,"",0,0,,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,45/23:58: 4-323,323,10,770,24:08:49,24:08:49,C88,C60,"",0,0,0,0,0,0,C70,C80,0,0,2,1,,,,,,,,,,,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,45/23:58: 4-323,"",0,0,,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,45/23:58: 4-323,323,10,770,24:11:02,24:11:02,C88,C60,"",0,0,0,0,0,0,C60,C70,0,0,2,1,,,,,,,,,,,1,0,0,0,0,4,0,0,"",2,,,,,Unscheduled,45/23:58: 4-323,"",0,0,,
Sunday,16OCT2022,17OCT1922:05:24:36.000000,15OCT2022,Mb,"",,,,,"","","","","",,,,"",,,,,,,49/ 0:25:48-321,321,10,770,24:26:32,24:26:32,C88,C60,"",0,0,0,0,0,0,C88,"",0,0,2,1,,,,,,,,,,,1,0,0,0,0,6,0,0,"",2,,,,,Unscheduled,49/ 0:25:48-321,"",0,0,,
