RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
16AUG2022,1,472/ 4:28: 4-105,,,,,36
16AUG2022,2,469/ 4:28: 2-950,,,,,35
16AUG2022,3,478/ 4:38:47-303,,,,,56
16AUG2022,4,477/ 4:40:44-107,,,,,48
16AUG2022,5,490/ 4:56: 7-305,,,,,118
16AUG2022,6,489/ 4:57:44-203,,,,,116
16AUG2022,7,491/ 4:58: 1-511,,,,,131
16AUG2022,8,501/ 5: 6:43-307,,,,,175
16AUG2022,9,503/ 5: 9:49-111,,,,,196
16AUG2022,10,515/ 5:21:20-309,,,,,235
16AUG2022,11,516/ 5:24:17-113,,,,,240
16AUG2022,12,527/ 5:39: 1-115,,,,,287
16AUG2022,13,529/ 5:39: 1-311,,,,,297
16AUG2022,14,536/ 5:44:24-918,,,,,335
16AUG2022,15,539/ 5:55:42-117,,,,,346
16AUG2022,16,546/ 6:10: 2-119,,,,,371
16AUG2022,17,555/ 6:28:25-121,,,,,405
16AUG2022,18,499/ 6:35:60-715,,,,,174
16AUG2022,19,562/ 6:46:15-123,,,,,417
16AUG2022,20,569/ 7: 5: 8-918,,,,,450
16AUG2022,21,588/ 8:15:10-111,,,,,486
16AUG2022,22,503/ 8:33:51-110,,,,,199
16AUG2022,23,635/10:43:51-107,,,,,559
16AUG2022,24,477/11: 3:50-106,,,,,53
16AUG2022,25,670/12:29: 7-121,,,,,629
16AUG2022,26,692/12:55:51-975,,,,,647
16AUG2022,27,555/12:56: 3-120,,,,,409
16AUG2022,28,727/14:20:11-955,,,,,686
16AUG2022,29,692/14:27:31-975,,,,,648
16AUG2022,30,765/16:18:37-956,,,,,740
16AUG2022,31,516/17:50:10-113,,,,,249
16AUG2022,32,569/17:57:37-703,,,,,455
16AUG2022,33,527/18: 7: 8-115,,,,,296
16AUG2022,34,539/18:23: 4-117,,,,,355
16AUG2022,35,546/18:38: 8-119,,,,,380
16AUG2022,36,820/18:39:54-311,,,,,815
16AUG2022,37,670/18:52:37-121,,,,,634
16AUG2022,38,501/18:57:49-709,,,,,184
16AUG2022,39,562/19: 6:21-123,,,,,426
16AUG2022,40,827/19: 9: 8-954,,,,,826
16AUG2022,41,821/19:25:16-951,,,,,819
16AUG2022,42,482/19:31:10-101,,,,,91
16AUG2022,43,484/19:37:30-103,,,,,102
16AUG2022,44,472/19:55:15-105,,,,,47
16AUG2022,45,754/20:10: 8-107,,,,,725
16AUG2022,46,488/20:20:27-109,,,,,115
16AUG2022,47,502/20:30:48-321,,,,,195
16AUG2022,48,820/20:37: 3-311,,,,,817
16AUG2022,49,504/20:39:58-723,,,,,210
16AUG2022,50,588/20:55: 3-111,,,,,495
16AUG2022,51,851/20:57:25-918,,,,,849
16AUG2022,52,833/20:52:43-611,,,,,829
16AUG2022,53,853/21: 7:15-959,,,,,852
16AUG2022,54,837/21:23: 6-615,,,,,833
16AUG2022,55,481/21:29:40-705,,,,,80
16AUG2022,56,858/21:33:43-100,,,,,855
16AUG2022,57,490/22: 4:51-709,,,,,129
16AUG2022,58,766/22:28:46-955,,,,,741
16AUG2022,59,852/22:36:27-201,,,,,851
16AUG2022,60,869/22:40:31-317,,,,,868
16AUG2022,61,857/22:48: 4-603,,,,,854
16AUG2022,62,529/23:13: 2-717,,,,,309
16AUG2022,63,870/ 0:23: 3-215,,,,,870
16AUG2022,64,547/ 0:38:39-301,,,,,381
16AUG2022,65,491/ 1: 2:18-511,,,,,130
16AUG2022,66,860/ 1:35:53-305,,,,,856
16AUG2022,67,478/ 1:51: 5-309,,,,,55
16AUG2022,68,813/ 1:52:41-319,,,,,798
16AUG2022,69,842/ 2: 7:32-323,,,,,839
16AUG2022,70,502/10: 0:42-317,364,73,71,65,189
16AUG2022,71,595/10: 0:21-221,63,0,2,0,501
16AUG2022,72,590/10: 1:16-405,126,3,14,6,499
16AUG2022,73,624/10: 0:32-209,89,8,17,9,545
16AUG2022,74,495/10: 3: 5-501,141,0,5,1,163
16AUG2022,75,588/10: 5:19-111,112,2,3,2,488
16AUG2022,76,562/10: 5: 6-123,143,3,6,2,420
16AUG2022,77,596/10: 4: 1-407,2,,1,1,504
16AUG2022,78,598/10: 9:50-409,6,,0,0,509
16AUG2022,79,490/10: 4: 5-305,173,0,7,1,122
16AUG2022,80,625/10: 9:52-419,160,0,10,1,547
16AUG2022,81,507/10:12: 5-513,75,0,5,0,216
16AUG2022,82,504/10:18:24-319,228,102,114,105,204
16AUG2022,83,597/10:13:42-225,90,0,6,2,507
16AUG2022,84,596/10:16: 5-407,131,9,13,7,505
16AUG2022,85,626/10:15:38-211,80,0,8,2,551
16AUG2022,86,511/10:19: 8-503,126,0,3,0,232
16AUG2022,87,516/10:18:24-113,118,2,6,2,244
16AUG2022,88,484/10:24: 9-101,164,0,39,0,96
16AUG2022,89,598/10:16: 4-409,7,,0,0,510
16AUG2022,90,604/10:24:49-411,4,,0,0,515
16AUG2022,91,501/10:26:41-307,189,0,2,0,179
16AUG2022,92,631/10:28:43-421,189,0,8,2,553
16AUG2022,93,525/10:27:12-515,65,0,4,0,277
16AUG2022,94,569/10:25:12-321,199,1,26,21,451
16AUG2022,95,603/10:27:42-201,92,0,2,2,513
16AUG2022,96,598/10:31:14-409,111,5,17,5,511
16AUG2022,97,633/10:34: 5-213,63,3,4,4,557
16AUG2022,98,523/10:32:57-505,92,0,6,2,264
16AUG2022,99,527/10:38: 2-115,147,0,5,0,291
16AUG2022,100,482/10:38: 5-103,91,0,8,0,85
16AUG2022,101,604/10:31:24-411,2,,0,0,516
16AUG2022,102,610/10:39:50-413,8,,0,0,521
16AUG2022,103,515/10:41:18-309,159,9,14,9,239
16AUG2022,104,22873-38514-309-2,,,,,4
16AUG2022,105,639/10:42: 1-423,210,24,20,18,567
16AUG2022,106,534/10:42: 7-517,55,0,4,0,323
16AUG2022,107,637/10:35:27-323,254,1,15,1,563
16AUG2022,108,606/10:43:15-203,95,0,3,0,519
16AUG2022,109,604/10:44:55-411,102,2,15,5,517
16AUG2022,110,641/10:48:21-215,81,0,7,4,571
16AUG2022,111,564/10:47:28-507,118,0,8,0,434
16AUG2022,112,539/10:47:53-117,96,0,6,0,350
16AUG2022,113,472/10:54:31-105,142,70,46,43,41
16AUG2022,114,610/10:44:52-413,2,,1,1,522
16AUG2022,115,614/10:51:53-415,6,,0,0,527
16AUG2022,116,529/10:46:42-311,151,9,8,3,301
16AUG2022,117,22873-39414-311-2,,,,,5
16AUG2022,118,642/10:56: 9-401,162,0,2,1,573
16AUG2022,119,542/10:57: 6-519,63,0,9,1,365
16AUG2022,120,547/10:58:26-325,248,2,7,1,385
16AUG2022,121,612/11: 2: 4-205,125,0,4,4,525
16AUG2022,122,610/11: 1:16-413,114,7,14,8,523
16AUG2022,123,645/11: 0:24-217,62,0,3,2,577
16AUG2022,124,491/10:59: 6-509,110,0,7,0,136
16AUG2022,125,546/11: 4:47-119,123,1,5,2,375
16AUG2022,126,635/11: 6:24-107,116,0,3,1,560
16AUG2022,127,614/11: 1:17-415,2,,1,1,528
16AUG2022,128,620/11: 7: 5-417,5,,0,0,542
16AUG2022,129,536/11: 1:23-313,183,0,2,0,339
16AUG2022,130,22873-40314-313-2,,,,,6
16AUG2022,131,646/11:10:28-403,174,0,5,3,579
16AUG2022,132,495/11:12:15-501,82,0,7,0,164
16AUG2022,133,481/11:12:46-301,180,3,4,1,74
16AUG2022,134,617/11:12:58-207,96,1,7,2,540
16AUG2022,135,614/11:14:20-415,130,7,13,7,529
16AUG2022,136,650/11:16:27-219,72,12,20,16,583
16AUG2022,137,616/11:16:40-511,84,0,8,1,531
16AUG2022,138,555\11:20:28-121,151,0,1,0,410
16AUG2022,139,488/11:17:24-109,102,1,7,3,109
16AUG2022,140,620/11:25:21-417,8,,1,1,543
16AUG2022,141,625/11:22:48-419,0,,0,0,548
16AUG2022,142,492/11:20:40-315,166,0,5,2,151
16AUG2022,143,22873-41214-315-2,,,,,7
16AUG2022,144,652/11:24:55-405,163,16,22,17,585
16AUG2022,145,656/11:29: 7-503,73,0,8,5,589
16AUG2022,146,478/11:29:27-303,200,1,8,5,61
16AUG2022,147,624/11:30:22-209,79,0,3,0,546
16AUG2022,148,620/11:30:13-417,98,2,13,5,544
16AUG2022,149,658/11:29:54-221,69,1,7,7,599
16AUG2022,150,507/11:24:36-513,91,0,6,1,217
16AUG2022,151,562/11:35:37-123,121,9,11,10,421
16AUG2022,152,588/11:34:22-111,102,0,4,0,489
16AUG2022,153,625/11:41:28-419,5,,1,1,549
16AUG2022,154,631/11:39:49-421,3,,0,0,554
16AUG2022,155,502/11:34:41-317,180,0,10,1,190
16AUG2022,156,22873-42114-317-2,,,,,8
16AUG2022,157,659/11:39:44-407,142,0,5,1,601
16AUG2022,158,523/11:43:56-505,68,0,6,2,265
16AUG2022,159,490/11:41:41-305,250,2,11,0,123
16AUG2022,160,626/11:43:34-211,94,0,8,2,552
16AUG2022,161,625\11:46:16-419,116,3,6,4,550
16AUG2022,162,662/11:46:33-225,66,0,6,5,605
16AUG2022,163,525/11:46:60-515,95,0,4,0,278
16AUG2022,164,484/11:52:35-101,118,5,10,7,97
16AUG2022,165,516/11:48:15-113,98,0,6,2,245
16AUG2022,166,631/11:56:47-421,2,,0,0,555
16AUG2022,167,639/11:51:44-423,1,,0,0,568
16AUG2022,168,504/11:56:51-319,200,0,14,11,205
16AUG2022,169,664/11:54:29-409,143,0,6,0,607
16AUG2022,170,564/11:58: 3-507,66,1,4,0,435
16AUG2022,171,501/11:57:13-307,202,14,54,48,180
16AUG2022,172,633/11:59:49-213,95,0,6,2,558
16AUG2022,173,631/12: 1:16-421,121,6,9,5,556
16AUG2022,174,666/12: 2:50-201,54,1,5,3,611
16AUG2022,175,534/12: 3:25-517,92,0,4,0,324
16AUG2022,176,482/12: 8: 3-103,124,3,5,2,86
16AUG2022,177,527/12: 9: 8-115,100,3,4,1,292
16AUG2022,178,639/12:11:34-423,3,,0,0,569
16AUG2022,179,642/12: 9:50-401,3,,0,0,574
16AUG2022,180,569/12:11:51-321,186,20,33,19,452
16AUG2022,181,667\12: 8:58-411,133,0,6,1,616
16AUG2022,182,491/12:13: 2-509,87,0,6,1,137
16AUG2022,183,669/12:14: 4-309,211,51,81,72,620
16AUG2022,184,641/12:15:20-215,66,28,39,33,572
16AUG2022,185,639/12:16:15-423,142,14,19,12,570
16AUG2022,186,668\12:13:51-203,75,4,6,5,618
16AUG2022,187,542/12:15:27-519,89,0,11,7,366
16AUG2022,188,472/12:25: 8-105,137,6,9,7,42
16AUG2022,189,539/12:20:20-117,184,28,39,27,351
16AUG2022,190,642/12:19:32-401,6,,0,0,575
16AUG2022,191,646/12:24:50-403,1,,0,0,580
16AUG2022,192,637/12:19:28-323,212,6,21,12,564
16AUG2022,193,672/12:23:50-413,172,32,43,38,635
16AUG2022,194,616/12:29:48-511,86,0,15,5,532
16AUG2022,195,529\12:33:28-311,290,121,203,177,310
16AUG2022,196,645/12:27:33-217,68,0,5,1,578
16AUG2022,197,642/12:31:15-401,151,21,28,19,576
16AUG2022,198,679/12:29:33-205,56,0,2,0,639
16AUG2022,199,495/12:28:15-501,108,0,9,4,165
16AUG2022,200,635/12:38: 3-107,112,0,6,1,561
16AUG2022,201,546/12:37: 6-119,101,7,11,3,376
16AUG2022,202,646/12:39:23-403,4,,0,0,581
16AUG2022,203,652/12:39:11-405,0,,0,0,586
16AUG2022,204,547/12:39:36-325,252,37,62,51,386
16AUG2022,205,682/12:41: 8-415,191,2,43,26,641
16AUG2022,206,507\12:43: 2-513,78,0,1,0,221
16AUG2022,207,531/12:44:57-313,118,26,4,2,317
16AUG2022,208,22873-45900-313-1,,,,,9
16AUG2022,209,650/12:47:35-219,115,0,8,7,584
16AUG2022,210,646/12:46:16-403,132,8,21,12,582
16AUG2022,211,689/12:46:18-207,75,2,6,5,645
16AUG2022,212,656/12:44:15-503,95,0,3,0,590
16AUG2022,213,488/12:53: 2-109,122,0,2,0,110
16AUG2022,214,670/12:55:37-121,87,0,2,0,630
