RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
07SEP2022,0/ 7:45:19-215,757,22895-28122-215-4,8,8,0,406,1887,1616,1682,1556,1686,1509,309,,,1
07SEP2022,0/ 9:15:22-215,827,22895-33324-215-3,8,8,0,406,1887,1616,1682,1556,1686,1509,309,,,2
07SEP2022,100/10: 1:47-209,66,22895-36222-209-4,8,8,0,1226,1612,1706,1675,1804,1658,1903,1255,,,3
07SEP2022,100/11:31:16-209,137,22895-41424-209-3,8,8,0,1226,1612,1706,1675,1804,1658,1903,1255,,,4
07SEP2022,111/10:13:51-419,73,22895-36744-419-7,10,10,1,3067,4158,4073,3153,4154,4078,4020,4123,4039,3152,5
07SEP2022,111/11:25:59-419,132,22895-41088-419-13,10,10,1,3067,4158,4073,3153,4154,4078,4020,4123,4039,3152,6
07SEP2022,111/11:30:17-419,142,22895-41964-419-14,10,10,,,,,,,,,,,,7
07SEP2022,111/11:48: 4-419,150,22895-42378-419-8,10,10,1,3067,4158,4073,3153,4154,4078,4020,4123,4039,3152,8
07SEP2022,113/10:16:56-211,78,22895-37122-211-4,8,8,0,1219,1538,1847,1516,1814,1603,1627,1243,,,9
07SEP2022,113/11:49:11-211,149,22895-42324-211-3,8,8,0,1219,1538,1847,1516,1814,1603,1627,1243,,,10
07SEP2022,117/10:26:51-421,85,22895-37644-421-7,10,10,1,3160,4076,4036,4093,3097,3029,4044,4208,4193,3091,11
07SEP2022,117/11:40:56-421,143,22895-41988-421-13,10,10,1,3160,4076,4036,4093,3097,3029,4044,4208,4193,3091,12
07SEP2022,117/11:50:24-421,155,22895-42864-421-14,10,10,,,,,,,,,,,,13
07SEP2022,117/12: 4:19-421,162,22895-43278-421-8,10,10,1,3160,4076,4036,4093,3097,3029,4044,4208,4193,3091,14
07SEP2022,122/10:31:43-213,90,22895-38022-213-4,8,8,0,1269,1641,1587,1740,1543,1825,1523,379,,,15
07SEP2022,122/12: 1:30-213,161,22895-43224-213-3,8,8,0,1269,1641,1587,1740,1543,1825,1523,379,,,16
07SEP2022,126/10:35:50-918,20,126/10:35:50-918,,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,17
07SEP2022,126/10:49:40-325,112,22895-39600-325-1,10,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,18
07SEP2022,126/12:33:15-325,194,22895-45714-325-2,10,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,19
07SEP2022,126/14:21:58-301,283,22895-52200-301-1,10,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,20
07SEP2022,126/16:13:40-301,368,22895-58314-301-2,10,10,,,,,,,,,,,,21
07SEP2022,126/18: 0:31-303,455,22895-64800-303-1,10,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,22
07SEP2022,126/19:54:54-305,535,22895-71754-305-2,10,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,23
07SEP2022,126/21:26:44-705,48,126/21:26:44-705,,10,0,1242,1809,1624,1856,1894,1742,1647,1853,1669,1228,24
07SEP2022,130/10:42: 5-423,98,22895-38544-423-7,10,9,0,1210,1824,1629,1722,1642,1505,1645,1703,1264,,25
07SEP2022,130/12: 7:51-423,156,22895-42888-423-13,10,9,0,1210,1824,1629,1722,1642,1505,1645,1703,1264,,26
07SEP2022,130/12:12:14-423,167,22895-43764-423-14,10,9,0,1210,1824,1629,1722,1642,1505,1645,1703,1264,,27
07SEP2022,130/12:17:38-423,174,22895-44178-423-8,10,9,0,1210,1824,1629,1722,1642,1505,1645,1703,1264,,28
07SEP2022,134/10:46:20-215,103,22895-38922-215-4,8,8,0,406,1887,1616,1682,1556,1686,1509,309,,,29
