RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
07SEP2022,1,825/ 4:27:16-105,,,,,424
07SEP2022,2,833/ 4:44:53-107,,,,,461
07SEP2022,3,831/ 4:52:53-303,,,,,440
07SEP2022,4,845/ 4:57: 6-511,,,,,525
07SEP2022,5,843/ 4:57:58-305,,,,,510
07SEP2022,6,842/ 4:58:39-203,,,,,507
07SEP2022,7,851/ 5:11: 6-111,,,,,570
07SEP2022,8,862/ 5:13:53-307,,,,,616
07SEP2022,9,872/ 5:23:36-309,,,,,655
07SEP2022,10,871/ 5:26: 3-113,,,,,645
07SEP2022,11,881/ 5:38:31-311,,,,,703
07SEP2022,12,894/ 5:47:21-918,,,,,741
07SEP2022,13,899/ 5:55:14-117,,,,,747
07SEP2022,14,912/ 6:10: 4-119,,,,,783
07SEP2022,15,931/ 6:25:14-121,,,,,805
07SEP2022,16,940/ 6:41:40-955,,,,,825
07SEP2022,17,944/ 6:42:20-123,,,,,826
07SEP2022,18,915/ 7:51:26-725,,,,,797
07SEP2022,19,20/ 8:13:30-918,,,,,77
07SEP2022,20,126/10:35:50-918,,,,,17
07SEP2022,21,887/11: 0:42-723,,,,,725
07SEP2022,22,198/12:11:34-217,,,,,75
07SEP2022,23,881/12:37:54-711,,,,,708
07SEP2022,24,145/12:30:35-617,,,,,36
07SEP2022,25,906/11:33:44-513,184,0,7,2,781
07SEP2022,26,906/13: 6:24-955,,,,,782
07SEP2022,27,230/13: 9:10-918,,,,,174
07SEP2022,28,243/13:53:18-956,,,,,201
07SEP2022,29,251/14:23:58-303,,,,,218
07SEP2022,30,894/14:38:52-701,,,,,746
07SEP2022,31,871/17:53:15-113,,,,,654
07SEP2022,32,170/18: 4: 1-115,,,,,58
07SEP2022,33,899/18:20:28-117,,,,,756
07SEP2022,34,912/18:33:58-119,,,,,792
07SEP2022,35,931/18:50: 3-121,,,,,814
07SEP2022,36,944/19: 8: 8-123,,,,,835
07SEP2022,37,841/19:18:41-101,,,,,506
07SEP2022,38,831/19:30:50-713,,,,,449
07SEP2022,39,832/19:34: 4-103,,,,,460
07SEP2022,40,825/19:48:53-105,,,,,435
07SEP2022,41,833/20: 5:49-107,,,,,472
07SEP2022,42,330/20:11:27-918,,,,,348
07SEP2022,43,332/20:23:12-959,,,,,351
07SEP2022,44,324/20:46: 1-611,,,,,341
07SEP2022,45,862/20:39: 8-311,,,,,626
07SEP2022,46,20/21:16:28-918,,,,,84
07SEP2022,47,309/19:51:29-303,133,21,37,28,312
07SEP2022,48,126/21:26:44-705,,,,,24
07SEP2022,49,329/21:29:47-217,,,,,347
07SEP2022,50,836/21:40:47-307,,,,,483
07SEP2022,51,850/21:40:10-955,,,,,569
07SEP2022,52,350/22:17:48-313,,,,,379
07SEP2022,53,342/22:38:39-713,,,,,357
07SEP2022,54,353/22:40:20-317,,,,,384
07SEP2022,55,344/22:40:46-201,,,,,359
07SEP2022,56,346/22:48:26-603,,,,,361
07SEP2022,57,846/23: 9: 9-717,,,,,539
07SEP2022,58,354/ 0:25: 2-215,,,,,386
07SEP2022,59,870/ 0:31:28-301,,,,,630
07SEP2022,60,309/ 1: 3:56-305,,,,,309
07SEP2022,61,843/ 1:45:52-309,,,,,509
07SEP2022,62,230/ 2: 7:43-323,,,,,173
07SEP2022,63,848/10: 6: 2-317,348,91,99,102,548
07SEP2022,64,31/ 9:59:18-221,125,0,8,5,318
07SEP2022,65,24/ 9:59:44-405,108,2,3,2,194
07SEP2022,66,100/10: 1:47-209,124,24,32,27,3
07SEP2022,67,876/10: 8:49-501,166,12,16,12,692
07SEP2022,68,851/10: 9:33-111,125,16,18,12,574
07SEP2022,69,944/10: 4:59-123,160,48,41,37,829
07SEP2022,70,38/10: 5:44-407,3,,4,4,396
07SEP2022,71,50/10: 9:49-409,3,,0,0,405
07SEP2022,72,843/10: 5:47-305,164,14,20,12,514
