RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
15SEP2022,1,752/ 3: 8:49-200,660,,200,"","",R50,R60,1,1,1,R50,"",03:09,03:09,"","",11346,11346,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,1,""
15SEP2022,1,752/ 3: 8:49-200,660,,200,"","",R50,R60,1,1,1,R60,R50,03:11,03:11,"","",11491,11491,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,2,""
15SEP2022,2,796/ 4:41:19-305,770,,305,"","",C60,C88,1,1,1,C60,"",04:41,04:41,"","",16898,16898,,,0,0,4,0,"",0,0,0,,16SEP1922:05:26:38.000000,3,""
15SEP2022,2,796/ 4:41:19-305,770,,305,"","",C60,C88,1,1,1,C70,C60,04:44,04:44,"","",17073,17073,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,4,""
15SEP2022,2,796/ 4:41:19-305,770,,305,"","",C60,C88,1,1,1,C80,C70,04:57,04:57,"","",17840,17840,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,5,""
15SEP2022,2,796/ 4:41:19-305,770,,305,"","",C60,C88,2,-1,1,C88,C80,04:59,04:59,"","",17950,17950,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,6,""
15SEP2022,3,789/ 4:44:37-109,190,,109,"","",A80,S50,1,1,1,A80,"",04:44,04:44,"","",17092,17092,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,7,""
15SEP2022,3,789/ 4:44:37-109,190,,109,"","",A80,S50,1,1,1,A90,A80,04:48,04:48,"","",17301,17301,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,8,""
15SEP2022,3,789/ 4:44:37-109,190,,109,"","",A80,S50,1,1,1,S20,A90,04:53,04:53,"","",17610,17610,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,9,""
15SEP2022,3,789/ 4:44:37-109,190,,109,"","",A80,S50,1,1,1,S40,S20,05:00,05:00,"","",18025,18025,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,10,""
15SEP2022,3,789/ 4:44:37-109,190,,109,"","",A80,S50,1,1,1,S50,S40,05:03,05:03,"","",18223,18223,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,11,""
15SEP2022,4,798/ 4:47: 6-111,190,,111,"","",A80,S50,1,1,1,A80,"",04:47,04:47,"","",17240,17240,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,12,""
15SEP2022,4,798/ 4:47: 6-111,190,,111,"","",A80,S50,1,1,1,A90,A80,04:52,04:52,"","",17558,17558,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,13,""
15SEP2022,4,798/ 4:47: 6-111,190,,111,"","",A80,S50,1,1,1,S20,A90,04:59,04:59,"","",17949,17949,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,14,""
15SEP2022,4,798/ 4:47: 6-111,190,,111,"","",A80,S50,1,1,1,S40,S20,05:06,05:06,"","",18377,18377,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,15,""
15SEP2022,4,798/ 4:47: 6-111,190,,111,"","",A80,S50,1,1,1,S50,S40,05:09,05:09,"","",18563,18563,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,16,""
15SEP2022,5,803/ 4:46:46-317,430,,317,"","",Y10,W40,1,1,1,Y10,W40,04:47,04:47,"","",17249,17249,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,17,""
15SEP2022,5,803/ 4:46:46-317,430,,317,"","",Y10,W40,2,1,2,W40,"",04:47,04:47,"","",17260,17260,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,18,""
15SEP2022,7,809/ 4:54:25-203,110,,203,"","",A80,A90,2,-1,1,A80,"",04:55,04:55,"","",17704,17704,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,45,""
15SEP2022,7,809/ 4:54:25-203,110,,203,"","",A80,A90,2,-1,1,A90,A80,04:58,04:58,"","",17935,17935,,,0,0,2,0,"",0,0,0,,16SEP1922:05:26:38.000000,46,""
15SEP2022,8,818/ 4:57:17-307,770,,307,"","",C60,C88,1,1,1,C60,"",04:57,04:57,"","",17855,17855,,,0,0,4,0,"",0,0,0,,16SEP1922:05:26:38.000000,47,""
15SEP2022,8,818/ 4:57:17-307,770,,307,"","",C60,C88,1,1,1,C70,C60,05:00,05:00,"","",18030,18030,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,48,""
15SEP2022,8,818/ 4:57:17-307,770,,307,"","",C60,C88,1,1,1,C80,C70,05:08,05:08,"","",18484,18484,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,49,""
15SEP2022,8,818/ 4:57:17-307,770,,307,"","",C60,C88,2,-1,1,C88,C80,05:11,05:11,"","",18668,18668,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,50,""
15SEP2022,9,829/ 5: 6:55-309,770,,309,"","",C60,C88,1,1,1,C60,"",05:07,05:07,"","",18435,18435,,,0,0,4,0,"",0,0,0,,16SEP1922:05:26:38.000000,51,""
15SEP2022,9,829/ 5: 6:55-309,770,,309,"","",C60,C88,1,1,1,C70,C60,05:10,05:10,"","",18609,18609,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,52,""
15SEP2022,9,829/ 5: 6:55-309,770,,309,"","",C60,C88,1,1,1,C80,C70,05:19,05:19,"","",19188,19188,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,53,""
15SEP2022,9,829/ 5: 6:55-309,770,,309,"","",C60,C88,2,-1,1,C88,C80,05:21,05:21,"","",19289,19289,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,54,""
15SEP2022,10,846/ 5:24:17-311,770,,311,"","",C60,C88,1,1,1,C60,"",05:24,05:24,"","",19475,19475,,,0,0,4,0,"",0,0,0,,16SEP1922:05:26:38.000000,55,""
15SEP2022,10,846/ 5:24:17-311,770,,311,"","",C60,C88,1,1,1,C70,C60,05:27,05:27,"","",19649,19649,,,0,0,0,0,"",0,0,0,,16SEP1922:05:26:38.000000,56,""
15SEP2022,10,846/ 5:24:17-311,770,,311,"","",C60,C88,1,1,1,C80,C70,05:35,05:35,"","",20120,20120,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,57,""
15SEP2022,10,846/ 5:24:17-311,770,,311,"","",C60,C88,2,-1,1,C88,C80,05:37,05:37,"","",20229,20229,,,0,0,6,0,"",0,0,0,,16SEP1922:05:26:38.000000,58,""
