RevDate,RK,RUNKEY,Exits,HPOT,LPOT,UPOT,Id
26AUG2022,391,89/16: 9:13-509,222,9,33,18,861
26AUG2022,392,22883-58086-111-6,,,,,247
26AUG2022,393,22883-58152-123-5,,,,,248
26AUG2022,394,394/16: 2:12-407,10,,5,5,513
26AUG2022,395,398/16: 7:48-409,3,,0,0,518
26AUG2022,396,149/16: 3:18-301,727,64,14,4,97
26AUG2022,397,422/16:11:35-419,586,112,135,115,553
26AUG2022,398,50/16:11:58-501,408,28,140,117,699
26AUG2022,399,22883-58500-315-1,,,,,249
26AUG2022,400,395/16:16:43-225,341,141,118,105,516
26AUG2022,401,394/16:16:15-407,475,119,76,59,514
26AUG2022,402,423/16:16:34-211,514,161,236,181,557
26AUG2022,403,98/16:21:55-511,229,17,28,17,902
26AUG2022,404,22883-58986-113-6,,,,,250
26AUG2022,405,22883-59052-101-5,,,,,251
26AUG2022,406,398/16:19:37-409,10,,0,0,519
26AUG2022,407,409/16:22:56-411,1,,0,0,526
26AUG2022,408,13/16:29:30-303,925,533,497,471,53
26AUG2022,409,424/16:26:10-421,353,0,21,7,558
26AUG2022,410,411/16:27:12-503,416,6,130,115,530
26AUG2022,411,22883-59400-317-1,,,,,252
26AUG2022,412,408/16:33:49-201,365,129,90,82,524
26AUG2022,413,398/16:29:20-409,414,109,40,21,520
26AUG2022,414,428/16:32:27-213,390,94,106,78,562
26AUG2022,415,49/16:32:51-513,304,51,67,56,669
26AUG2022,416,22883-59886-115-6,,,,,253
26AUG2022,417,22883-59952-103-5,,,,,254
26AUG2022,418,409/16:29:43-411,15,,2,0,527
26AUG2022,419,22883-59988-413-13,,,,,255
26AUG2022,420,339/16:40:38-305,800,23,9,2,436
26AUG2022,421,431/16:40:27-423,705,146,218,175,564
26AUG2022,422,70/16:41:23-505,610,345,471,425,797
26AUG2022,423,432/16:41:26-319,469,11,17,2,568
26AUG2022,424,412/16:48:54-203,402,232,167,142,538
26AUG2022,425,409/16:42: 2-411,398,93,31,9,528
26AUG2022,426,433/16:49: 2-215,343,59,97,76,575
26AUG2022,427,53/16:47:56-515,506,211,194,156,741
26AUG2022,428,22883-60786-117-6,,,,,256
26AUG2022,429,22883-60852-105-5,,,,,257
26AUG2022,430,22883-60864-413-14,,,,,258
26AUG2022,431,418/16:57:34-415,5,,3,3,542
26AUG2022,432,26/16:53:14-307,833,162,45,31,338
26AUG2022,433,434/16:57: 4-401,410,0,11,4,577
26AUG2022,434,92/16:56:57-507,456,33,149,132,886
26AUG2022,435,51/16:47:47-321,556,292,329,301,723
26AUG2022,436,416/17: 1:26-205,412,106,99,65,540
26AUG2022,437,22883-61278-413-8,,,,,259
26AUG2022,438,436/17: 1:52-217,543,146,247,168,581
26AUG2022,439,27/17:13: 9-517,531,195,292,255,357
26AUG2022,440,22883-61686-119-6,,,,,260
26AUG2022,441,22883-61752-107-5,,,,,261
26AUG2022,442,418/17: 6:52-415,8,,9,8,543
26AUG2022,443,420/17: 6:46-417,4,,0,0,548
26AUG2022,444,38/17: 6:50-309,873,305,228,197,488
26AUG2022,445,22883-61944-403-7,,,,,262
26AUG2022,446,89/17:12:12-509,533,43,172,137,862
26AUG2022,447,144/17:12: 7-323,403,3,35,24,80
26AUG2022,448,419/17:18:40-207,359,118,94,79,546
26AUG2022,449,418/17:24:40-415,478,244,226,173,544
26AUG2022,450,438/17:16:53-219,420,139,136,113,583
26AUG2022,451,50/17:18:15-519,128,0,13,6,700
26AUG2022,452,22883-62502-519-11,,,,,263
26AUG2022,453,22883-62586-121-6,,,,,264
26AUG2022,454,22883-62652-109-5,,,,,265
26AUG2022,455,420/17:14:31-417,8,,2,1,549
26AUG2022,456,22883-62688-419-13,,,,,266
26AUG2022,457,80/17:26:22-311,772,222,263,226,815
26AUG2022,458,441/17:24:39-405,335,54,70,56,593
26AUG2022,459,98/17:28: 3-511,479,43,222,173,903
26AUG2022,460,83/17:27:43-325,301,3,18,4,841
26AUG2022,461,421/17:30:20-209,262,58,57,40,552
26AUG2022,462,420/17:32:20-417,245,2,19,7,550
26AUG2022,463,443/17:32:26-221,522,143,231,200,597
26AUG2022,464,411/17:33: 4-501,300,11,56,34,531
26AUG2022,465,22883-63486-123-6,,,,,267
26AUG2022,466,22883-63552-111-5,,,,,268
26AUG2022,467,422/17:41:47-419,12,,11,11,554
26AUG2022,468,424/17:39: 7-421,5,,1,1,559
26AUG2022,469,28/17:36:41-313,649,16,22,11,372
26AUG2022,470,449/17:39:29-407,327,12,26,4,599
26AUG2022,471,49/17:42:52-513,567,43,198,173,670
26AUG2022,472,149/17:41:23-301,294,40,50,33,98
26AUG2022,473,368/17:34: 6-211,273,87,72,50,469
26AUG2022,474,422/18: 2:32-419,10,0,0,0,555
