Id,RevDate,RunKey,PrevRunKey,PrevTrain,SchedTrain,ActTrain,Route,SchedOrigin,SchedDest,ActOrigin,ActDest,StartTime,EndTime,StartLoc,EndLoc,DelaySec,DelayCode,EOLDelay,PassDelay,NumPassDelayed,DelayGroup
1,15NOV2022,609,"",,301,301,1,C60,Y10,C60,Y10,17273,17273,C60,C60,347,LD,748,5.59055555555556,58,
2,15NOV2022,7,"",,315,315,2,M90,C88,Y10,C88,18099,18548,W10,M90,782,LR,772,,,
3,15NOV2022,609,"",,301,301,1,C60,Y10,C60,Y10,20621,20621,M30,M30,,ND,748,,103,
4,15NOV2022,688,,,101,,6,A80,S50,"","",23370,23370,A80,A80,,HL,,,,
5,15NOV2022,616,"",,317,317,2,Y10,C88,Y10,C88,22949,23436,C80,C88,355,LR,438,0.8875,9,
6,15NOV2022,677,"",,315,315,1,C88,Y10,C88,Y10,24901,25430,K30,K20,313,LR,215,73.075,790,
7,15NOV2022,689,"",,109,109,6,M90,S50,M90,A70,26683,26683,A70,A70,,OL,"",,8,
8,15NOV2022,742,"",,105,105,5,S50,M90,S50,M90,26700,26700,S50,S50,,ED,50,,,1
9,15NOV2022,742,"",,105,105,5,S50,M90,S50,M90,26700,27619,S50,S40,673,LR,50,5.98777777777778,34,1
10,15NOV2022,699,"",,305,305,2,Y10,C88,Y10,C88,28191,28191,C30,C30,321,DH,324,57.2941666666667,69,
11,15NOV2022,691,"",,317,317,1,C88,Y10,C88,Y10,28434,29011,W30,Y10,307,LR,235,4.51972222222222,53,
12,15NOV2022,743,"",,213,213,4,R60,S50,R60,S50,28835,29232,K30,K10,334,AD,274,,0.0172222222222222,
13,15NOV2022,738,669,117,117,117,6,M90,S50,M90,S50,29418,29642,A20,A30,326,AD,291,,0.0102777777777778,2
14,15NOV2022,737,671,501,501,501,11,L30,M90,L30,M90,28736,29283,A20,A10,336,AD,352,,0.0788888888888889,2
15,15NOV2022,749,"",,503,503,11,L30,M90,L30,M90,29470,29470,A40,A40,381,DH,155,57.2941666666667,374,
16,15NOV2022,780,702,111,111,111,5,S50,M90,S50,M90,29490,29490,S50,S50,,ED,663,,,3
17,15NOV2022,780,702,111,111,111,5,S50,M90,S50,M90,29490,30179,S50,S40,443,LR,663,2.77277777777778,23,3
18,15NOV2022,724,"",,419,419,7,R60,W40,R60,W40,29753,30456,W20,W30,505,LR,556,9.31222222222222,68,
19,15NOV2022,786,,,405,,7,R60,W40,"","",30504,30504,R60,R60,,HL,,,,
20,15NOV2022,751,"",,301,301,1,C88,Y10,C88,Y10,30649,31260,K10,M10,335,LR,334,88.9361111111111,1010,5
21,15NOV2022,751,"",,301,301,1,C88,Y10,C88,Y10,30649,30649,K10,K10,,ND,334,,1010,5
22,15NOV2022,768,"",,217,217,4,R60,S50,R60,S50,30491,30982,K30,K20,413,AD,729,,0.0666666666666667,
23,15NOV2022,783,724,419,419,419,13,W40,Y10,W40,Y10,30985,30985,W40,W40,697,LA,726,0.580833333333333,3,
24,15NOV2022,804,,,419,,8,W40,R60,"","",31716,31716,W40,W40,,HL,,,,4
25,15NOV2022,797,,,419,,14,Y10,W40,"","",31284,31284,Y10,Y10,,HL,,,,4
26,15NOV2022,791,"",,417,417,8,W40,R60,W40,R60,31197,31197,W40,W40,381,LD,402,9.2075,87,4
27,15NOV2022,796,"",,421,421,13,W40,Y10,W40,Y10,31455,31827,W40,Y10,375,AD,375,,0.03,4
28,15NOV2022,784,"",,417,417,14,Y10,W40,Y10,W40,30413,31120,Y10,W40,473,LR,502,0.919722222222222,7,4
29,15NOV2022,780,702,111,111,111,5,S50,M90,S50,M90,30881,31424,S20,A90,387,AD,663,,0.015,
30,15NOV2022,785,"",,319,319,2,Y10,C88,Y10,C88,32630,32630,M20,M20,326,CD,199,14.0911111111111,400,6
31,15NOV2022,795,"",,501,501,12,M90,L30,M90,L30,32192,32606,M20,M16,312,LR,432,4.26916666666667,47,6
32,15NOV2022,788,"",,101,101,6,M90,S50,M90,S50,32504,32504,M16,M16,505,DH,597,57.2941666666667,53,6
33,15NOV2022,815,"",,213,213,3,S50,R60,S50,S20,32658,32658,S20,S20,,OL,"",,2,7
34,15NOV2022,755,"",,215,215,4,R60,S50,R60,S20,32607,32607,S20,S20,,OL,"",,12,7
35,15NOV2022,763,"",,121,121,6,M90,S50,M90,A90,32644,32644,A90,A90,,OL,"",,15,
36,15NOV2022,840,"",,217,217,3,S50,R60,S50,R60,34795,34795,S50,S50,541,LD,315,1.65305555555556,11,8
37,15NOV2022,768,"",,217,217,4,R60,S50,R60,S50,33274,34503,A90,S40,415,AD,729,,0.0558333333333333,8
38,15NOV2022,781,"",,219,219,4,R60,S50,R60,S50,33772,34471,A90,S20,303,LR,330,2.13888888888889,25,8
39,15NOV2022,830,"",,119,119,5,S50,M90,S50,M90,33870,33870,S40,S40,334,DH,145,57.2941666666667,34,8
40,15NOV2022,819,"",,117,117,5,S50,M90,S50,M90,33196,33196,S40,S40,,ND,549,,26,8
41,15NOV2022,805,"",,115,115,5,S50,M90,S50,M90,33044,33044,A90,A90,124,DH,181,57.2941666666667,32,8
42,15NOV2022,111,842,121,121,121,6,M90,S50,M90,S50,39930,39930,M90,M90,330,LA,301,1.19166666666667,13,8
