Id,RevDate,RunKey,PrevRunKey,PrevTrain,SchedTrain,ActTrain,Route,SchedOrigin,SchedDest,ActOrigin,ActDest,StartTime,EndTime,StartLoc,EndLoc,DelaySec,DelayCode,EOLDelay,PassDelay,NumPassDelayed,DelayGroup
152,15NOV2022,504,450,421,419,419,7,40,47,40,47,71083,71823,21,19,576,6,938,,0.0602777777777778,25
153,15NOV2022,495,420,313,313,313,1,18,48,18,48,71058,71538,20,19,354,1,324,7.16527777777778,67,25
154,15NOV2022,508,437,211,211,211,4,40,43,40,43,70897,71502,21,20,395,1,454,3.30388888888889,38,25
155,15NOV2022,484,,,311,311,1,18,48,18,48,70340,70900,20,25,313,6,299,,0.0313888888888889,25
156,15NOV2022,498,425,209,209,209,4,40,43,40,43,70601,70601,20,20,387,3,445,2.71083333333333,49,25
157,15NOV2022,536,,,217,,4,40,43,,,72402,72402,40,40,,11,,,,
158,15NOV2022,491,412,325,325,325,2,48,18,48,18,73330,73818,17,18,356,1,420,0.593333333333333,6,
159,15NOV2022,517,512,409,409,409,8,47,40,47,40,74788,74788,39,39,477,2,845,57.2941666666667,11,26
160,15NOV2022,507,440,223,223,223,3,43,40,43,40,74226,74779,39,40,319,1,775,0.531666666666667,6,26
161,15NOV2022,509,,,407,407,8,47,40,47,40,73682,74295,39,40,379,1,693,2.52666666666667,24,26
162,15NOV2022,534,,,205,205,3,43,40,43,40,74591,74591,4,4,,8,849,,12,
163,15NOV2022,518,449,213,213,213,4,40,43,40,43,75012,75012,41,41,311,3,478,0.491388888888889,11,
164,15NOV2022,515,452,201,201,201,3,43,40,43,40,75183,76001,39,40,584,1,1031,1.62222222222222,10,27
165,15NOV2022,515,452,201,201,201,3,43,40,43,40,75183,75183,39,39,399,3,1031,1.75277777777778,40,27
166,15NOV2022,535,531,413,413,413,8,47,40,47,40,75508,75508,21,21,347,3,911,6.51472222222222,134,
167,15NOV2022,558,525,203,203,203,4,40,43,40,43,77299,77299,40,40,517,4,688,0.430833333333333,3,28
168,15NOV2022,540,487,207,207,207,3,43,40,43,40,78467,79338,39,40,637,1,1548,0.707777777777778,4,28
169,15NOV2022,542,,,415,415,8,47,40,47,40,77539,78757,39,40,984,1,1543,1.36666666666667,5,28
170,15NOV2022,540,487,207,207,207,3,43,40,43,40,78467,78467,39,39,528,2,1548,57.2941666666667,4,28
171,15NOV2022,534,,,205,205,3,43,40,43,40,77070,77739,39,40,435,1,849,0.3625,3,28
172,15NOV2022,535,531,413,413,413,8,47,40,47,40,76331,77087,38,40,504,6,911,,0.0725,28
173,15NOV2022,527,,,411,411,8,47,40,47,40,75328,76821,39,40,1259,1,1401,2.79777777777778,8,28
174,15NOV2022,525,464,203,203,203,3,43,40,43,40,76029,76029,39,39,,2,268,57.2941666666667,,28
175,15NOV2022,581,558,203,203,203,3,43,40,43,40,82519,82519,43,43,469,5,659,1.30277777777778,10,28
176,15NOV2022,564,523,519,505,505,12,34,24,34,24,78671,78671,34,34,359,4,1116,0.498611111111111,5,
177,15NOV2022,556,529,501,501,501,12,34,24,34,24,77802,79623,26,25,1413,1,1494,69.0738888888889,178,29
178,15NOV2022,553,,,303,303,1,18,48,18,48,78265,79598,19,25,1075,1,1060,24.8308333333333,83,29
179,15NOV2022,555,519,509,509,509,11,24,34,24,34,79329,79329,25,25,935,2,874,57.2941666666667,48,29
180,15NOV2022,568,567,321,321,321,2,48,18,48,18,79523,79523,48,48,329,4,951,7.03694444444444,77,
181,15NOV2022,562,,,307,307,1,18,48,18,48,79067,79693,12,11,338,1,436,3.14416666666667,33,
182,15NOV2022,560,559,317,317,317,2,48,18,48,18,79990,79990,27,27,790,2,995,57.2941666666667,187,
183,15NOV2022,564,523,519,505,505,12,34,24,34,24,80016,80016,28,28,452,2,1116,57.2941666666667,118,
184,15NOV2022,573,,,223,,3,43,40,,,80250,80250,43,43,,11,,,,
185,15NOV2022,563,492,513,513,513,11,24,34,24,34,80628,80628,25,25,321,2,481,57.2941666666667,67,
186,15NOV2022,552,,,313,313,2,48,18,48,18,80206,81128,14,15,616,1,1099,8.8,55,
187,15NOV2022,577,552,313,313,313,1,18,48,18,48,81947,81947,18,18,887,4,1283,1.47833333333333,6,
188,15NOV2022,578,553,303,303,303,14,48,47,48,47,82001,82001,48,48,917,4,854,4.07555555555556,16,
189,15NOV2022,574,549,211,211,211,4,40,43,40,43,81819,82242,21,20,325,6,187,,0.0655555555555556,
190,15NOV2022,582,534,205,215,215,4,40,43,40,43,82622,82622,40,40,380,5,404,0.211111111111111,2,
191,15NOV2022,586,562,307,307,307,14,48,47,48,47,83261,83261,48,48,377,5,350,1.57083333333333,15,
192,15NOV2022,576,575,325,325,325,2,48,18,48,18,84783,84783,21,21,462,2,976,57.2941666666667,103,
193,15NOV2022,598,,,223,,4,40,43,,,85842,85842,40,40,,11,,,,
194,15NOV2022,584,583,303,303,303,2,48,18,48,18,85900,86389,20,21,511,6,641,,0.0791666666666667,
195,15NOV2022,600,,,311,311,2,48,18,48,18,86705,86705,48,48,305,4,226,3.8125,45,30
196,15NOV2022,602,,,313,,14,48,47,,,86484,86484,48,48,,11,,,,30
197,15NOV2022,585,522,305,317,918,1,18,48,48,48,87034,87034,25,25,,8,1449,,,
198,15NOV2022,593,560,317,321,321,1,18,48,18,48,87293,87293,21,21,318,2,503,57.2941666666667,6,
199,15NOV2022,595,572,509,509,509,11,24,34,24,34,87839,87839,25,25,311,2,319,57.2941666666667,9,
200,15NOV2022,607,,,317,,14,48,47,,,88284,88284,48,48,,11,,,,
201,15NOV2022,606,581,203,203,203,4,40,43,40,43,89952,90309,21,20,332,6,856,,0.000277777777777778,
202,15NOV2022,608,593,321,321,321,14,48,47,48,47,90650,90650,48,48,566,5,639,,,
203,15NOV2022,603,576,325,325,325,1,18,48,18,48,93551,93551,46,46,791,2,1193,57.2941666666667,7,
