Id,RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10
332,13NOV2022,416/23:12:26-505,373,22962-84036-505-11,10,9,1,3047,4026,4199,4149,3120,3062,4153,4080,3044,
333,13NOV2022,417/14:12:40-211,156,22962-51564-211-4,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
334,13NOV2022,417/15:45:49-211,196,22962-56754-211-3,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
335,13NOV2022,419/14:30:47-405,161,22962-52362-405-7,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
336,13NOV2022,419/15:44: 8-405,194,22962-56646-405-13,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
337,13NOV2022,419/15:50:19-405,204,22962-57834-405-14,10,10,,,,,,,,,,,
338,13NOV2022,419/16: 8:15-405,206,22962-58206-405-8,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
339,13NOV2022,423/14:47:44-201,170,22962-53364-201-4,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
340,13NOV2022,423/16:13:14-201,210,22962-58554-201-3,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
341,13NOV2022,428/15: 1: 1-407,175,22962-54162-407-7,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
342,13NOV2022,428/16:14: 8-407,208,22962-58446-407-13,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
343,13NOV2022,428/16:19:35-407,218,22962-59634-407-14,10,10,,,,,,,,,,,
344,13NOV2022,428/16:38:36-407,220,22962-60006-407-8,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
345,13NOV2022,433/15:16:20-203,184,22962-55164-203-4,8,8,1,3151,4106,4192,4110,3060,3112,4103,3052,,
346,13NOV2022,433/16:45:50-203,224,22962-60354-203-3,8,8,1,3151,4106,4192,4110,3060,3112,4103,3052,,
347,13NOV2022,434/15:30:41-411,189,22962-55962-411-7,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
348,13NOV2022,434/16:45:58-411,222,22962-60246-411-13,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
349,13NOV2022,434/16:56:30-411,232,22962-61434-411-14,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
350,13NOV2022,434/17: 8:11-411,234,22962-61806-411-8,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
351,13NOV2022,438/15:46:28-975,17,438/15:46:28-975,,8,0,1269,1846,1801,1673,1818,1859,1862,414,,
352,13NOV2022,439/15:49:36-205,198,22962-56964-205-4,8,8,0,1264,1631,1670,1633,1650,1816,1553,1241,,
353,13NOV2022,439/17:17:16-205,238,22962-62154-205-3,8,8,0,1264,1631,1670,1633,1650,1816,1553,1241,,
