RevDate,RK,SRK,Rt,STrain,Train,SOr,SDe,Or,De,TN,RR,Dir,Loc,LLoc,DO,DC,SDO,SDC,DO1,DC1,SDO1,SDC1,LRD,DD,PLe,Delay,Note,Del,PDO,PDC,EOL,TS,ind,Code
01SEP2022,1,759/ 4:35: 4-105,190,,105,"","",A80,S50,1,1,1,A80,"",04:35,04:35,"","",16519,16519,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,1,""
01SEP2022,1,759/ 4:35: 4-105,190,,105,"","",A80,S50,1,1,1,A90,A80,04:38,04:38,"","",16732,16732,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,2,""
01SEP2022,1,759/ 4:35: 4-105,190,,105,"","",A80,S50,1,1,1,S20,A90,04:44,04:44,"","",17046,17046,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,3,""
01SEP2022,1,759/ 4:35: 4-105,190,,105,"","",A80,S50,1,1,1,S40,S20,04:51,04:51,"","",17473,17473,,,0,0,0,0,"",0,0,0,,02SEP1922:05:26:29.000000,4,""
01SEP2022,1,759/ 4:35: 4-105,190,,105,"","",A80,S50,1,1,1,S50,S40,04:55,04:55,"","",17718,17718,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,5,""
01SEP2022,2,765/ 4:35:50-303,770,,303,"","",C60,C88,1,1,1,C60,"",04:36,04:36,"","",16569,16569,,,0,0,4,0,"",0,0,0,,02SEP1922:05:26:29.000000,6,""
01SEP2022,2,765/ 4:35:50-303,770,,303,"","",C60,C88,1,1,1,C70,C60,04:39,04:39,"","",16752,16752,,,0,0,0,0,"",0,0,0,,02SEP1922:05:26:29.000000,7,""
01SEP2022,2,765/ 4:35:50-303,770,,303,"","",C60,C88,1,1,1,C80,C70,04:51,04:51,"","",17470,17470,,,0,0,6,0,"",0,0,0,,02SEP1922:05:26:29.000000,8,""
01SEP2022,2,765/ 4:35:50-303,770,,303,"","",C60,C88,2,-1,1,C88,C80,04:52,04:52,"","",17574,17574,,,0,0,6,0,"",0,0,0,,02SEP1922:05:26:29.000000,9,""
01SEP2022,3,766/ 4:41: 4-107,190,,107,"","",A80,S50,1,1,1,A80,"",04:41,04:41,"","",16879,16879,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,10,""
01SEP2022,3,766/ 4:41: 4-107,190,,107,"","",A80,S50,1,1,1,A90,A80,04:44,04:44,"","",17089,17089,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,11,""
01SEP2022,3,766/ 4:41: 4-107,190,,107,"","",A80,S50,1,1,1,S20,A90,04:49,04:49,"","",17396,17396,,,0,0,2,0,"",0,0,0,,02SEP1922:05:26:29.000000,12,""
