RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
14SEP2022,22902-17184-103-5,642,22902-17184-103-5,10,,,,,,,,,,,,,1
14SEP2022,22902-18000-121-6,653,22902-18000-121-6,10,,,,,,,,,,,,,2
14SEP2022,22902-19800-101-6,679,22902-19800-101-6,10,,,,,,,,,,,,,3
14SEP2022,22902-21444-325-2,695,22902-21444-325-2,10,,,,,,,,,,,,,4
14SEP2022,22902-22740-119-5,714,22902-22740-119-5,10,,,,,,,,,,,,,5
14SEP2022,22902-27042-325-1,771,22902-27042-325-1,10,,,,,,,,,,,,,6
14SEP2022,22902-30864-221-4,824,22902-30864-221-4,8,,,,,,,,,,,,,7
14SEP2022,22902-35154-219-3,882,22902-35154-219-3,8,,,,,,,,,,,,,8
14SEP2022,22902-49344-309-2,263,22902-49344-309-2,10,,,,,,,,,,,,,9
14SEP2022,22902-54942-309-1,339,22902-54942-309-1,10,,,,,,,,,,,,,10
14SEP2022,22902-56742-313-1,364,22902-56742-313-1,10,,,,,,,,,,,,,11
14SEP2022,22902-61044-309-2,420,22902-61044-309-2,10,,,,,,,,,,,,,12
14SEP2022,22902-61944-311-2,434,22902-61944-311-2,10,,,,,,,,,,,,,13
14SEP2022,22902-64290-515-12,468,22902-64290-515-12,10,,,,,,,,,,,,,14
14SEP2022,22902-66642-309-1,499,22902-66642-309-1,10,,,,,,,,,,,,,15
14SEP2022,22902-67416-511-11,510,22902-67416-511-11,10,,,,,,,,,,,,,16
14SEP2022,22902-88284-317-14,635,22902-88284-317-14,10,,,,,,,,,,,,,17
14SEP2022,284/ 3: 4: 5-951,4,284/ 3: 4: 5-951,,8,,,,,,,,,,,,18
14SEP2022,285/ 3: 2:54-952,2,285/ 3: 2:54-952,,10,,,,,,,,,,,,19
14SEP2022,285/ 3:23:31-952,6,285/ 3:23:31-952,,10,,,,,,,,,,,,20
14SEP2022,288/ 3: 0: 6-953,1,288/ 3: 0: 6-953,,8,,,,,,,,,,,,21
14SEP2022,290/ 3: 6: 3-954,3,290/ 3: 6: 3-954,,10,,,,,,,,,,,,22
14SEP2022,290/ 3:50: 2-954,7,290/ 3:50: 2-954,,10,,,,,,,,,,,,23
14SEP2022,343/ 3:20:39-953,5,343/ 3:20:39-953,,8,,,,,,,,,,,,24
14SEP2022,343/ 3:54:37-953,8,343/ 3:54:37-953,,8,,,,,,,,,,,,25
